GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10000","Delaware",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",58372724,56534524,57299997,60069924,59335062,60624267,60477881,58655683,61517690,60577171,62919335,62354607,60235799,64940066,66793463,63001341,60357514,61425115,64143516,62281752,64404718
 "10000","Delaware",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",52667533,50513815,51296555,54031717,53062124,54499317,54170569,52248423,54986750,54208684,56505282,56022986,54068094,58986889,60838167,56973449,54104215,55018134,57790017,55977010,58006305
 "10000","Delaware",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",450363,288041,409930,518097,643768,538238,419667,404934,631516,514309,378096,414421,559558,677640,614650,639941,821407,869994,751637,581351,576834
 "10000","Delaware",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",34451,29056,14787,11832,3334,2392,742,1102,955,1429,96,460,3112,3487,4332,4548,4883,6724,6708,7152,7861
 "10000","Delaware",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",685553,765024,720393,763166,703005,839106,863504,856084,807714,916097,884828,873085,854912,912835,927803,975024,955805,908991,905582,988510,939274
 "10000","Delaware",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",2555243,2503218,2521170,2818347,2833525,2760474,2426994,2336269,1884822,1659568,1757879,1731916,1762535,1827121,1956606,1981050,2018189,2035232,2111232,2065120,2114850
 "10000","Delaware",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",4924749,3967333,4178716,5633228,5446055,5816913,6319397,5163353,4742605,4459495,4362614,3838841,3954791,4024941,4807235,3979696,4556385,4724305,5361066,5134889,5166349
 "10000","Delaware",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",844847,777521,806521,1009373,1057041,1178528,1344610,1402855,1241066,1356371,1259790,1444452,1290161,1257358,1403859,1318610,1431200,1488784,1482838,1447076,1467688
 "10000","Delaware",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",4354352,3326794,3526272,4888853,4592270,4827668,5148754,3790728,3540421,3109166,3115451,2394389,2664602,2767542,3402423,2661263,3124761,3235204,3869032,3679131,3690409
 "10000","Delaware",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",1873337,1945609,2310078,2503639,2548903,2810444,2701622,2619183,2288343,2351007,2347556,2296755,2192878,2208795,2097719,2081199,1758979,1778860,1792676,1846773,1958068
 "10000","Delaware",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",2268838,2431628,2609103,2740519,2789719,2796277,2721208,2570215,2461299,2488762,2488207,2479455,2533463,2517292,2547951,2635877,2684737,2746699,2773983,2625153,2734084
 "10000","Delaware",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",869757,836871,839668,953539,926330,946613,907037,877555,832976,838316,856653,893764,950826,1004463,1042857,1027506,1032634,1041577,1136798,1115629,1178989
 "10000","Delaware",2,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",799812,894527,881546,989645,977955,979591,1056746,1255990,1298811,1711488,1926244,2028033,1570837,1295983,1159861,1166834,1062303,1101123,1161810,1101869,1206079
 "10000","Delaware",2,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",25859926,24412463,24020730,23942628,23050423,23627414,23662962,22465621,27103768,25808980,27303088,26789766,25175451,29445623,30617336,27530023,23922076,24295754,25796306,25497095,25907248
 "10000","Delaware",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",14925101,14232607,14419925,14888502,15291967,15990524,15757706,12271624,17400067,16719507,17443324,17164041,15063156,19511364,20444510,17572642,14918477,13392606,14736357,14359327,14529011
 "10000","Delaware",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",10814159,10056943,9441998,8835486,7439098,7270468,7572057,10151940,9699113,9093225,9859320,9625725,10125280,9857198,10081086,9955173,9050648,11297224,11354120,11476156,11735001
 "10000","Delaware",2,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",6370141,6312738,6465679,6702754,6709296,6706390,6480764,6802310,6137960,6473906,6920939,7360994,7220761,7461067,7266751,7111287,7680877,7812335,8070366,7828533,8453954
 "10000","Delaware",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",3527126,3519515,3625351,3894599,3853192,3637551,3581512,3882697,3612979,3726398,4154271,4680394,4656805,4843479,4940745,4078700,4320329,4397655,4438896,4274751,4545679
 "10000","Delaware",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",1957678,2019000,1975768,1818281,1654280,1776932,1525484,1627934,1362294,1514798,1462674,1363306,1178641,1151955,854155,1654438,1885342,1753764,1953785,1887907,2059636
 "10000","Delaware",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",951693,867037,934793,1021090,1201033,1295575,1366707,1288900,1161341,1229465,1302959,1317294,1384539,1462915,1456107,1409383,1516594,1682342,1719314,1703930,1892152
 "10000","Delaware",2,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",3145138,3247339,3463807,3674013,3822033,3993885,4067594,4362213,4463941,4476477,4666576,4755063,4823004,5031745,5182433,5270043,5328412,5429520,5552981,5263306,5467452
 "10000","Delaware",2,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",337661,339203,356892,387903,383370,411187,403712,414315,435002,430166,421654,432186,417932,437955,405780,404442,388932,390512,389887,332160,334660
 "10000","Delaware",2,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",2810844,2910319,3108623,3288943,3439814,3584608,3664993,3948235,4029670,4046856,4244904,4322877,4405270,4593942,4778667,4868022,4942956,5042898,5167678,4937877,5140464
 "10000","Delaware",2,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",1720144,1793740,1858696,1911415,1773222,1811024,1689561,1665825,1534690,1656718,1749024,1686567,1627813,1656563,1660801,1679528,1696802,1718062,1751354,1312163,1659360
 "10000","Delaware",2,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",395786,490543,493709,466210,412103,443011,428491,430015,445275,527056,566897,510425,457669,422628,405004,401469,412619,352129,349781,262551,319191
 "10000","Delaware",2,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2012 dollars",1329879,1302520,1365545,1449747,1367254,1372277,1263777,1237984,1089718,1129533,1181901,1176141,1169899,1232985,1254392,1276353,1282793,1360820,1395823,1045329,1334341
 "10000","Delaware",2,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2012 dollars",968292,992403,1040620,1055845,1101496,1130997,1084422,1029918,921356,889886,871449,873867,839567,850119,854065,857393,851170,855546,862741,745252,816926
 "10000","Delaware",2,CAGDP9,83,"...","Government and government enterprises ","Thousands of chained 2012 dollars",5643306,6029190,5999616,6004879,6270690,6097155,6294759,6411073,6529808,6367484,6413983,6331621,6167389,5962079,5967536,6033068,6257246,6411355,6354743,6305399,6401121
 "10000","Delaware",2,CAGDP9,87,"11, 21","Natural resources and mining ","Thousands of chained 2012 dollars",471078,304847,419770,526892,647009,540598,420557,406103,632572,515922,378185,414881,562524,680976,618826,644331,825893,876696,758618,589384,585700
 "10000","Delaware",2,CAGDP9,88,"42, 44-45","Trade ","Thousands of chained 2012 dollars",4158473,4398064,4929012,5250487,5345051,5604073,5421375,5185842,4749757,4839800,4835794,4776209,4726063,4725915,4645122,4716052,4436987,4517998,4558823,4470525,4690949
 "10000","Delaware",2,CAGDP9,89,"22, 48-49","Transportation and utilities ","Thousands of chained 2012 dollars",1541148,1593382,1549785,1702633,1613912,1777214,1766082,1730143,1637132,1757446,1742335,1766849,1805513,1917307,1970083,2002238,1988305,1950740,2043061,2104003,2117810
 "10000","Delaware",2,CAGDP9,90,"31-33, 51","Manufacturing and information ","Thousands of chained 2012 dollars",5601311,4820742,5002520,6497482,6307348,6659896,7226475,6350990,5991805,6154259,6283862,5866874,5526149,5323428,5980896,5148465,5637671,5845181,6555064,6268492,6392267
 "10000","Delaware",2,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",7998673,6761817,7099240,9004125,8932080,9150275,9182096,7945528,7225863,6618107,6497676,5985638,6280929,6532321,7392302,6623631,7350579,7567728,8198794,7821534,7910691
