GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "15000","Hawaii",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",55678452,56990820,59978771,63318118,67123864,68759328,70080384,70460821,67927511,69628097,70646613,71905294,73063236,73512394,75869463,77303858,78947441,79845299,79213374,70109401,74547216
 "15000","Hawaii",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",42904804,43733093,46267271,49103453,52543188,53876359,55107856,55030942,52464548,54014444,54635143,55798289,57246619,57468195,59834502,60942424,62698401,64086508,63584639,54598761,58860521
 "15000","Hawaii",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",547316,639738,622289,550254,646950,702147,510454,517881,709656,638766,568881,532936,499606,488988,593142,602938,621683,565610,507942,463400,335783
 "15000","Hawaii",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",123319,101890,109830,100684,79490,103032,137185,125812,124162,94326,68803,70391,68907,68464,74587,81459,68256,84244,76356,79875,90557
 "15000","Hawaii",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",1063691,1034040,1080421,1196234,1169528,1292785,1325877,1508830,1308689,1616507,1895175,2048313,1983323,1860702,1659045,1668405,1667456,1653517,1595351,1564826,1468185
 "15000","Hawaii",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",3256037,3399606,3772122,4041944,4620483,4646156,4941807,4806153,4277629,3846095,3642911,3649052,3546490,3533693,3926899,4233224,4080887,3938371,3971072,3796292,3709253
 "15000","Hawaii",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",1507293,1632487,1720787,1631852,1562354,1551200,1543567,1773919,1757418,1540442,1450299,1432587,1595278,1727434,1729660,1824121,1783453,1782495,1565372,1433772,1551146
 "15000","Hawaii",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",259720,257958,250188,255120,310876,328622,359415,371198,335818,331654,363527,327188,357402,334019,328216,366730,395954,397506,400920,352723,399362
 "15000","Hawaii",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",1275967,1422265,1536283,1427930,1268482,1231586,1181099,1412885,1443949,1215056,1085960,1105399,1238144,1398640,1407601,1458002,1375445,1372710,1141775,1065307,1129775
 "15000","Hawaii",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",2110417,2195389,2350858,2386511,2453205,2399201,2477497,2511579,2209201,2269820,2303836,2337622,2407589,2469354,2603827,2581596,2643991,2587126,2592454,2422748,2547500
 "15000","Hawaii",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",4102466,4203142,4644645,4913614,5166037,5193834,5063471,4856104,4588666,4740908,4986327,5105421,5196313,5194321,5321847,5343268,5610765,5883062,5953239,4990005,4907845
 "15000","Hawaii",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",2027215,1971427,2158585,2579814,3018252,3310457,3292920,3001311,2995953,3394787,3312327,3409968,3537821,3501035,3662633,3911023,4226200,4227164,4498387,2590779,3024650
 "15000","Hawaii",8,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",1003809,1103187,1081540,1334845,1435950,1609211,1773809,1720100,1716779,1927341,1596009,1543996,1703417,1672770,1907616,1972137,2160593,2446384,2239601,2055928,2530436
 "15000","Hawaii",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",10605107,10209516,10645467,11076666,12647523,12701522,13872005,14155272,13995782,14606053,14706336,14948844,15357807,15461813,16320046,16408367,16566629,16573928,16056884,15437170,16096093
 "15000","Hawaii",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",1970115,2134136,2075783,2211516,2294984,2243960,2288603,2247761,2381479,2271813,2531368,2520021,2218552,2463054,2595376,2521698,2590965,2654984,2718516,2776058,3099407
 "15000","Hawaii",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",8610941,8046317,8545476,8836578,10335331,10444740,11582030,11910794,11620949,12330326,12175409,12428823,13142116,12994770,13720638,13886775,13973085,13910833,13315379,12624098,12942158
 "15000","Hawaii",8,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",4583929,5056213,5411952,5644348,5650482,5854250,5901803,6140481,5822568,6070594,6324942,6515978,6681758,6858742,6937967,7026032,7299621,7516422,7155351,6565688,7116494
 "15000","Hawaii",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",2276896,2523873,2619142,2681564,2810151,2952468,3029804,3229062,3080996,3070772,3167739,3190444,3173665,3234264,3281580,3310743,3452580,3537707,3549114,3340411,3716197
 "15000","Hawaii",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",825126,957310,999665,1128548,965395,898228,834437,809858,737874,762358,801808,887049,976762,1007501,1020743,1066653,1113115,1171821,1256787,1171791,1236107
