GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",46084523,47056844,48593699,51815142,56043031,57613749,58670902,60309468,57327941,58281757,58226221,58323936,60631214,62454038,63081239,65479033,66940978,70857344,74162613,75145470,80093776
 "16000","Idaho",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",38201956,39074975,40524981,43525816,47556305,49018276,50120824,51674909,48823968,49997748,50095564,50132954,52526397,54462413,54880411,57117680,58315180,62077806,65276116,66243800,71176681
 "16000","Idaho",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",2989380,3288670,2735283,3305545,3375353,3633724,3574574,3590674,3367979,3494397,3505082,3427765,3662260,4158973,4453701,4981118,4280730,4847349,5131883,5047549,3600061
 "16000","Idaho",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",465229,447134,496988,492080,1094659,859083,825672,1143532,1040805,1314394,1282727,730973,1184959,1646767,1095531,1297551,619655,614259,509050,754548,1101395
 "16000","Idaho",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",683102,795359,689595,739624,667603,739853,745810,859176,896668,1120885,1161721,1241696,1275266,1173904,1161013,1234418,1251177,1165293,1165773,1255954,1185367
 "16000","Idaho",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",3591097,3271306,3336734,3434590,3765655,4087540,4277858,3586275,2863096,2541135,2420413,2525896,2786141,2818744,2843836,2896382,2973331,3021812,3265289,3477879,3760882
 "16000","Idaho",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",3837697,3795479,4313561,4961682,5897661,5301836,5365894,6427484,6241103,6720142,6880825,7003225,6907007,7058625,6785251,6997311,7257478,8133023,8414743,8269233,8655056
 "16000","Idaho",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",1867961,2040485,2475837,3054916,3832141,3167174,3064723,3911013,3881283,4414621,4366179,4373082,4339777,4569940,4067445,4474002,4462480,5062296,4991231,4721768,4897828
 "16000","Idaho",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",2545598,2064927,2010449,1894144,1868706,2164689,2417977,2548796,2371071,2290411,2512264,2630142,2567305,2491279,2702014,2533773,2787537,3067503,3400125,3506281,3711120
 "16000","Idaho",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",2667958,2716801,2899357,3082426,3287683,3413672,3594346,3546942,3129387,3267053,3289204,3409841,3672853,3860116,4072649,4357141,4454873,4639559,4793527,5034553,5525566
