GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",642292514,647517753,658317277,676805920,687706570,704827569,712619785,706616459,688160951,698179584,711283361,726399102,726124962,741194005,751754932,749333509,753026961,771695542,775998144,734385039,780060757
 "17000","Illinois",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",567547955,570995510,581746014,599898589,610732039,627942797,637131152,630948175,612650092,620759068,635597571,651576933,651282545,667721946,679808430,678162557,681051012,700784308,704670727,664426035,710046211
 "17000","Illinois",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",3308318,4265912,5170689,6492777,3874746,5820769,6203275,8068451,7695770,6595799,7987202,5894064,10513304,8197229,5561280,8677952,8025959,9160567,6787304,8812310,10452327
 "17000","Illinois",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",3623226,3355846,3226883,2970133,2817528,2777577,2791154,2404917,2484568,2181220,2042394,2334678,2492466,2532381,2767744,2271190,2268509,2327721,2020240,1761678,1213718
 "17000","Illinois",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",11846182,11838417,11004734,11891476,11211505,10993737,10804780,11592745,10374344,11742323,12271038,12140693,11791721,11864081,11739358,12191375,12346702,12523617,12809052,13425676,12719355
 "17000","Illinois",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",36489115,35677657,36231259,36239589,35143589,33423435,31893501,29602280,23720385,22667683,21822433,20342405,22403106,22648166,23675410,23495314,23713036,22677063,22504414,21096696,21521998
 "17000","Illinois",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",85960121,82452078,87158559,93267647,93103429,95015890,97615899,92008209,89139238,93120971,98931817,103715200,97066820,99689508,96937282,95568003,97553939,104205623,103769802,96644373,103260695
 "17000","Illinois",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",38507902,37748207,39618537,43846337,45453687,48698659,50092258,49891428,41623928,47263254,51868920,54986316,51078189,49700332,47157644,45831306,46445799,49053693,49113481,44924635,48161015
 "17000","Illinois",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",49687694,46430298,49497597,50879979,48436532,46357288,47546080,41458239,48283899,46035235,47073229,48728884,45996947,50105776,49957870,49971524,51374927,55463030,54952293,52084035,55475217
 "17000","Illinois",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",46265321,46518161,47816726,49216643,51797991,53241377,55520115,56555779,49638399,52389003,54383972,56909457,57543590,59020331,61309675,59967581,59798454,59388176,58682349,59028672,62168773
 "17000","Illinois",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",35144747,36691029,37942844,38515362,39397472,39825185,39345357,38473935,36104211,35987077,35786875,36145572,36794624,37395181,39284934,39899998,40435430,41442514,42407210,40907627,42213822
 "17000","Illinois",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",22013754,21292353,21775213,23819230,24611094,28607614,27042198,26426720,25165059,27058564,27747580,27439651,28056926,28207945,27966755,27365537,28257143,29822164,30151771,25751145,27599516
 "17000","Illinois",3,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",15810481,17542851,18216063,19941143,21333967,21315717,23061632,24157260,23076825,23321867,24479789,24121367,25870805,25808087,28677308,30163782,29398020,31931223,33951418,34951932,38874563
 "17000","Illinois",3,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",138220127,139006780,139076170,140070693,144554654,149225569,152004794,145314396,156946227,154301536,154108398,160974343,156081780,163761719,167895340,164412634,160442657,163887722,165844441,156393654,165368992
 "17000","Illinois",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",59120605,58583743,57831854,60205027,62985451,67297925,65534344,54558822,67568220,63227535,62968647,68603751,61789409,68022826,71305786,68010137,64599774,67625549,69086462,65135302,71228632
 "17000","Illinois",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",78672529,80001850,80840332,79366353,81008111,81208842,85946014,90647929,89576910,91046103,91106786,92370592,94342242,95650695,96400313,96345708,95934464,96172280,96582895,91094818,93699774
 "17000","Illinois",3,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",79567769,80305507,81525490,83904438,87217543,89017568,90880923,94258396,86880912,89527141,92635821,96687342,97477809,101007114,102548506,103601939,107152161,112113132,112743807,108745188,119956229
 "17000","Illinois",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",47423315,48592980,47587060,49166859,50787672,52300734,53281918,56881993,52734728,52849641,54883725,56949310,57373324,59725054,62188033,63806485,64722129,68251117,68982076,67000574,73315752
 "17000","Illinois",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",16347903,16519237,17563552,16834733,16811880,16671627,16033204,15555716,14766060,15700768,15934211,17005975,17435670,17522452,16309882,16166030,17104030,17352877,16747299,16744315,17633357
 "17000","Illinois",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",16153040,15642256,16888796,18151156,19737225,20122427,21570844,21831620,19409327,20975430,21818733,22732056,22670018,23746305,23978720,23563639,25242505,26376341,26787444,24919519,28694067
 "17000","Illinois",3,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",47264556,48511734,49906376,51629088,53138708,55594222,55932863,58941319,60756984,60657855,61616554,62106185,62373765,62883977,64378339,65460760,66107582,67802535,68138679,65485749,67976306
 "17000","Illinois",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",8241117,8121694,8418233,8791334,8677989,9355940,9480533,10169670,11184970,11446272,11671212,11669856,11455111,11304817,11233119,11386167,11087899,11167996,11257772,10135062,10296826
 "17000","Illinois",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",39029597,40350765,41455607,42813033,44402446,46195792,46413329,48738804,49562979,49211307,49946041,50436329,50921265,51588861,53169668,54101194,55069458,56698915,56943188,55459315,57808513
 "17000","Illinois",3,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",24236762,24619014,24625521,23712673,23419256,24608227,25745763,25459124,23601002,24271455,25001311,26107673,26402734,27592803,29714524,29403016,29903895,28864524,29718211,20432270,26472990
 "17000","Illinois",3,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",7758526,8208731,7812132,6555964,6226455,6327459,6582956,6628582,5975028,6214221,6325011,7153372,7713645,7937768,8378688,8433031,8577912,8801828,9176204,5141033,6941533
 "17000","Illinois",3,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2012 dollars",16361647,16272219,16701350,17123815,17179606,18283136,19167893,18828832,17629873,18060239,18680487,18954301,18692388,19656495,21333517,20972087,21328174,20091573,20578560,15260681,19506379
 "17000","Illinois",3,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2012 dollars",19373311,20151271,19163378,18785498,18700684,18746949,18512030,18098478,17262114,16709322,16757721,16658303,16369060,16891183,16713911,16272399,16225953,16467070,16250155,14667606,14965466
 "17000","Illinois",3,CAGDP9,83,"...","Government and government enterprises ","Thousands of chained 2012 dollars",75060761,76986405,76919215,77117358,77108128,76903183,75405185,75608829,75476583,77382704,75677581,74822170,74841916,73536644,72094547,71337373,72128389,71171394,71588167,70077423,70400448
 "17000","Illinois",3,CAGDP9,87,"11, 21","Natural resources and mining ","Thousands of chained 2012 dollars",6447621,7400195,8368329,9744534,6683934,8588727,8984637,10486246,10216818,8819921,10004516,8228742,13059223,10744655,8340600,10854985,10228068,11365567,8783442,10362774,11329613
 "17000","Illinois",3,CAGDP9,88,"42, 44-45","Trade ","Thousands of chained 2012 dollars",81503763,83387232,85957184,87903450,91319338,93166008,94883207,94987055,85747359,88375504,90169754,93055029,94337690,96416355,100594103,99858485,100213696,100767404,100951808,99868815,104318793
 "17000","Illinois",3,CAGDP9,89,"22, 48-49","Transportation and utilities ","Thousands of chained 2012 dollars",33918384,33194908,32837693,35770206,35839924,39487133,37770989,38002251,35472268,38785920,40018850,39580344,39846107,40069674,39703261,39544800,40597318,42346854,42959420,39139985,40261145
 "17000","Illinois",3,CAGDP9,90,"31-33, 51","Manufacturing and information ","Thousands of chained 2012 dollars",100644094,99465116,104735854,112633398,114160788,115972698,120478419,116296244,112306187,116482213,123439357,127836567,122933046,125500727,125478148,125478295,126807498,135925351,137241773,130742259,141005948
 "17000","Illinois",3,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",129801032,125866754,132124333,139672688,136080246,137692615,138980263,132333551,122935568,124758995,130806206,132286348,132561946,133220511,129594058,129823355,131615309,137790211,135400177,127707196,135380672
 "17000","Illinois",3,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",438300470,445530680,450211378,461030452,475150317,490672076,498547584,498761602,489634813,495922256,504807185,519290585,518722533,534461671,550042766,548187542,549335065,562985460,569113606,536576787,574447576
 "17001","Adams, IL",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",2563923,2628305,2783978,2902101,2948081,3012225,3005302,3057903,2968856,3059515,3158018,3218817,3194106,3296070,3275472,3366416,3124099,3207080,3169804,3009901,3238565
 "17001","Adams, IL",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",2262419,2321029,2484844,2603853,2653260,2716507,2715340,2770539,2682889,2763805,2874286,2941410,2919505,3028101,3017892,3114605,2869771,2957220,2917511,2776770,3005849
 "17001","Adams, IL",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",16898,22532,130231,116382,76229,66105,48082,86897,75569,87341,64099,77571,(D),100323,20276,108558,126203,140519,119510,138096,161662
 "17001","Adams, IL",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",68419,66271,60351,58790,55736,53284,51472,40219,27600,20862,21260,26201,31186,35995,43559,40477,41369,44632,39230,37322,33343
 "17001","Adams, IL",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",9039,10485,10620,11415,10738,11235,10688,11530,10962,10886,11718,11485,(D),11233,11694,13250,13073,13516,14108,15519,(D)
 "17001","Adams, IL",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",148444,149755,158322,137426,136248,104359,97729,107008,115151,151181,156723,123068,126252,113920,106349,112614,117962,121518,106934,96846,123802
 "17001","Adams, IL",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",423154,422852,460253,545436,592401,637381,648443,640479,523927,588294,672185,677303,656040,736022,741933,719686,500203,523831,507110,439288,490879
 "17001","Adams, IL",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",(D),267462,296098,367844,406573,439249,467242,474468,371154,437706,504520,497929,473643,535496,533033,535443,333595,369983,375712,313384,366748
 "17001","Adams, IL",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",(D),170186,178183,187608,194153,206499,183509,165240,154714,150668,167492,179374,182525,200595,209162,183861,167209,154088,131278,126026,124991
 "17001","Adams, IL",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",158087,163262,183864,183446,195176,202022,222430,233079,203052,208790,213476,229517,244153,244521,258636,253465,246683,241428,230913,235939,253145
 "17001","Adams, IL",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",215888,224854,239686,245084,246514,245144,228426,234524,243638,252141,245742,242357,247815,249396,255147,253958,255630,257822,260523,254507,254931
 "17001","Adams, IL",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",94268,89770,88941,87042,91865,108211,104884,89767,79433,73382,68962,69428,67055,68964,92044,80450,81159,82366,79779,81026,77466
 "17001","Adams, IL",3,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",38917,54640,53892,61310,60056,59461,63295,66696,64227,65978,67768,62994,65398,61928,72774,83698,89663,82067,86968,91024,(D)
 "17001","Adams, IL",3,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",490789,497850,493301,488016,505633,528192,540382,523828,615557,545506,567025,621131,565158,626646,608413,652605,587359,594251,612451,579225,603805
 "17001","Adams, IL",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",173374,184543,178960,178635,180734,192627,200051,193382,234079,224311,234358,255661,225097,242930,248629,234395,217000,223891,233896,226209,248682
