GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "18000","Indiana",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",259474793,265345140,277151611,287655871,290328175,296112718,304085687,300962553,279520734,297517332,299064514,300513880,307279125,316783058,313751163,319601494,324997597,336327063,337902188,327277858,346240868
 "18000","Indiana",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",230722067,236567007,247966222,258156025,260665893,262878925,274825508,271151757,249957023,268459746,270387411,272337122,280310379,288162774,285333857,290606764,295053195,305869242,307590384,296951181,316276788
 "18000","Indiana",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",3197488,3132128,3869054,4302983,3314712,3936825,3895265,4895913,4920221,4429492,4797673,4102847,7059489,5706248,4697442,5451923,5247984,5570975,4335357,6182716,6341250
 "18000","Indiana",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",2562883,2378634,2366349,1920470,1676391,1654468,1689755,1530554,1631716,1643479,1676338,1684623,1908275,1799070,1686910,1653444,1724507,1581826,1325391,1173636,911110
 "18000","Indiana",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",4688961,4744647,4571720,4888194,4824415,5061103,4858830,5260294,5108555,5912918,6113437,6372432,6371675,6119234,5882254,6267044,6051899,5929783,6060059,6084939,5914674
 "18000","Indiana",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",14777812,13974296,14219487,14283229,13617074,12707078,12730618,11930281,10022894,9895690,10635730,11941050,11471160,10832012,10908391,11388687,12181137,12466183,12741543,12598193,12937321
 "18000","Indiana",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",66437680,71938674,76944974,82036024,79581047,79621383,91671388,90200657,74414916,88264248,86596294,82808012,88099476,91339741,85776355,87679122,88055790,92270881,92122087,87265342,95214712
 "18000","Indiana",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",34074224,37514791,41126984,41928045,42238516,42562505,47361523,43714499,31692544,45372815,44840279,45902815,47522508,47959053,50230990,51430653,51810040,54450424,54733462,51228554,59923923
 "18000","Indiana",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",32149276,33821109,34606714,39880635,36289818,35864592,43603325,46785077,44041967,43016730,41836856,36905197,40580742,43389327,35495962,36196888,36191190,37765785,37342070,35985802,35482956
 "18000","Indiana",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",14847684,15265200,15790452,16144891,16909514,17174135,17467506,17789613,15428899,16409342,16923855,17380966,17662566,18112629,18822709,18506371,18479606,19331720,18970584,19188542,20065572
 "18000","Indiana",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",16028048,16551327,17618561,17832203,18228148,18106112,17292806,16957749,16571943,16931101,16954308,16836129,17185121,17440561,17924695,18868559,19056259,19331406,19421894,19007092,19507859
 "18000","Indiana",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",8495794,8278431,8620150,9045211,9755890,10549650,10249361,10098845,9246830,9712612,9853407,9997014,10025896,10211742,10240616,10369459,10848696,11022440,10965730,10952323,11241151
 "18000","Indiana",3,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",3783285,4106263,4454621,5150658,5505483,5680080,6056675,6444646,6234298,6236551,6033371,6307996,6683904,6619120,6767926,6905057,7028076,6934685,7043795,6797278,7396267
 "18000","Indiana",3,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",40218494,38877041,40840056,41840086,44771377,44486478,45749131,40913201,43206362,43941454,44247461,46045533,44040019,48420404,49108523,48235393,48828815,50999795,52488662,49881667,52247968
 "18000","Indiana",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",13119284,12820842,13502886,14107934,14401196,14712648,15939438,12553672,14832557,14319691,14147231,14704717,12279075,16828351,17868266,17583265,17224763,17968827,18972765,17126827,18741561
 "18000","Indiana",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",27082682,26039088,27318382,27700098,30369930,29753252,29749010,28348459,28413886,29626495,30100178,31340816,31769447,31528979,31156087,30568710,31530825,32955279,33420015,32689031,33423937
 "18000","Indiana",3,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",18701384,18981806,19449871,19677566,20377754,20876218,21264120,22555262,20846795,22218752,23390643,24108433,24833052,25687918,26277628,27097214,28321845,29869085,30740393,30327312,34220276
 "18000","Indiana",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",8980098,9346139,9398549,9610486,9860692,10179502,10593003,11715290,11041294,11428967,11990469,12210499,12498197,12689130,13299343,13917308,14450443,15416179,15870357,16003008,17800360
 "18000","Indiana",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",4362936,4078517,4143664,3704439,3598174,3527832,3296336,3326685,3011538,3147233,3316991,3484667,3786161,4070458,4237368,4542421,4733492,4921538,5139784,5142983,5858766
 "18000","Indiana",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",5641074,5760076,6090643,6439434,6953631,7186365,7377302,7517475,6800193,7642971,8083353,8413267,8549437,8931267,8755104,8673732,9168976,9565364,9777470,9269070,10648690
 "18000","Indiana",3,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",20822811,21281600,21925911,22749601,23422633,24409573,24103179,25541819,25999088,26314135,26645536,27504237,27775506,28152407,29146114,30277692,31043347,31750542,32577282,32054011,33306403
 "18000","Indiana",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",2574682,2582574,2638394,2792461,2833448,2983423,2933188,3115308,3353174,3421253,3425693,3441122,3353920,3384911,3352918,3415610,3291081,3361672,3408737,2956717,3120623
 "18000","Indiana",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",18249192,18693333,19278807,19954151,20582362,21421091,21164285,22420792,22646613,22894468,23220559,24063115,24422847,24769217,25801897,26874744,27778394,28415913,29199501,29160154,30247050
 "18000","Indiana",3,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",10014286,10052746,10338632,10749195,10628967,10767610,10436045,10226729,9669408,9928985,10015000,10557656,10602863,10924094,11114545,11207538,11336885,11738319,11190091,9109827,10716619
 "18000","Indiana",3,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",3363659,3449361,3610178,3729975,3543327,3461129,3408630,3393892,3337802,3446113,3322372,3474098,3555402,3573917,3448282,3349353,3440103,3553937,3553632,2630095,2934682
