GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "23000","Maine",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",49471041,50910381,52209846,54256020,54926899,55448427,55359883,54653883,53630103,54304997,53789004,53679731,53239095,54037877,54425793,55565364,56469364,58099895,59553368,59881438,63594547
 "23000","Maine",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",41898363,43176440,44331585,46280947,46913841,47415970,47354307,46587010,45700505,46478347,46297621,46325365,45974904,46676596,47152555,47998961,49040438,50720497,52205620,52512962,56146404
 "23000","Maine",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",1201215,1140600,1129578,1019944,1044429,1121780,916110,899969,965544,994896,877940,853010,818775,841454,1008585,996713,956049,947349,955539,912014,775539
 "23000","Maine",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",25967,24434,21476,22144,16066,15725,18255,26144,18854,20992,20204,31956,37268,32037,44630,45248,54880,64505,45850,75655,69270
 "23000","Maine",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",915865,869778,786328,830444,826948,907352,965885,970948,868397,942586,920798,945538,943705,889823,854692,895152,893674,878418,873260,889557,838058
 "23000","Maine",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",3145797,3072466,3201065,3247211,3005256,2775724,2569548,2321440,2255920,2231215,2102902,1984590,1808218,1751531,1712112,1694214,1708822,1734734,1737087,1713245,1801807
 "23000","Maine",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",5141421,5002919,5069293,5598330,5704908,5832884,6077598,6026551,5664683,5809254,5568741,5446770,5255158,5290616,5052295,5303185,5663459,5804579,6062977,6151611,6630534
 "23000","Maine",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",2080000,2025444,2113283,2432257,2488252,2468222,2493690,2575902,2555773,2785669,2775878,2499480,2680279,2695017,2659011,2770372,2864203,3092694,3051283,2864747,3189603
 "23000","Maine",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",3120370,3034441,2996412,3179295,3226938,3396922,3635753,3483724,3123025,3025500,2791431,2947290,2573110,2593860,2391052,2530545,2796985,2710178,3010168,3290015,3441162
 "23000","Maine",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",2684902,2788235,3012544,3136652,3112127,3170465,3175312,3081056,2773165,2894295,2864407,2957753,2992929,3097889,3205571,3228351,3193027,3223366,3177930,3262412,3449758
 "23000","Maine",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",4438438,4697661,4984310,5087674,5071264,5034914,4737907,4633480,4490885,4503750,4389239,4289646,4351827,4413838,4601781,4694104,4849833,4993608,5180554,5182031,5239889
 "23000","Maine",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",1097182,1090084,1130443,1183743,1232682,1356474,1320187,1296296,1259761,1280967,1226903,1184974,1192548,1218800,1210941,1210842,1248082,1217264,1210942,1141787,1166851
 "23000","Maine",1,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",935531,1040939,1113516,1185572,1257661,1206796,1177503,1195422,1195574,1264084,1128194,1034494,1088859,1043619,1151761,1253160,1230175,1375080,1395586,1391563,1649020
 "23000","Maine",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",9137245,9630172,9825990,10293864,10956239,10869757,11200217,10446585,10841528,11058163,11550968,11726924,11465774,11609202,11476286,11487802,11508590,12026096,12441473,13602513,14156612
 "23000","Maine",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",2859715,2805764,2700437,2762227,2854942,2780695,2824818,2774038,3041344,2937341,3043219,3119716,2939791,2995608,3170633,3155586,3288351,3433690,3551188,4021937,4293048
 "23000","Maine",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",6266584,6816246,7121982,7531464,8105927,8096793,8385918,7676773,7808342,8121023,8507539,8607208,8526917,8614017,8297463,8324814,8206305,8577953,8875426,9553249,9827965
 "23000","Maine",1,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",4120364,4317479,4335343,4404589,4312603,4452511,4656313,5087724,4819590,4913378,5005372,5079948,5142333,5446425,5572167,5797824,6055093,6505076,6833380,7085616,8045443
 "23000","Maine",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",2317434,2487150,2482549,2553104,2525602,2541363,2586584,2820703,2711418,2692677,2736537,2760835,2779459,2866650,2963732,3073171,3196752,3424991,3580751,3700240,4060908
 "23000","Maine",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",813285,847767,798659,805621,654735,727898,704289,799744,685186,718973,737200,804823,794564,959221,967799,1100966,1181211,1332735,1556532,1646189,2218147
 "23000","Maine",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",1022931,1022793,1077521,1070736,1135164,1190319,1366875,1469597,1424387,1501851,1531700,1514289,1568220,1623363,1643335,1633369,1689888,1768728,1742473,1792634,1893668
 "23000","Maine",1,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",5618788,5854260,6092493,6478861,6546291,6867070,6858356,7135857,7235396,7147102,7199603,7250550,7240885,7281601,7457054,7512832,7645534,7814983,8108297,7933935,8332698
 "23000","Maine",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",643242,652853,693703,724232,701917,736393,775959,793855,840223,860626,864492,875119,867422,878090,875373,889921,890510,927889,986855,868453,908469
 "23000","Maine",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",4976553,5200197,5399247,5753717,5840915,6127053,6080954,6339899,6394253,6286496,6335080,6375432,6373523,6403413,6582516,6623411,6756261,6887370,7120293,7070103,7429300
 "23000","Maine",1,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",2235490,2355636,2389027,2471349,2420210,2458060,2374519,2249067,2147379,2252970,2292961,2413904,2514926,2613816,2690085,2782342,2930834,3013096,3068672,2156721,2942466
 "23000","Maine",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",415198,441698,465984,449057,446568,462549,474873,471752,477760,504288,510376,535843,549463,556059,539908,567905,575578,607661,617011,425955,607578
 "23000","Maine",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2012 dollars",1823812,1917406,1925386,2027238,1977979,1999287,1901528,1778057,1669613,1748646,1782576,1878061,1965404,2057449,2149110,2213622,2353507,2404441,2450540,1729718,2334342
 "23000","Maine",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2012 dollars",1396831,1456085,1403397,1426827,1424234,1401052,1309575,1241334,1179305,1172380,1150042,1125307,1125131,1155633,1166019,1162560,1164231,1203951,1208990,1142204,1201082
 "23000","Maine",1,CAGDP9,83,"...","Government and government enterprises ","Thousands of chained 2012 dollars",7603229,7757935,7897474,7977923,8011887,8028177,8000689,8066410,7929363,7825264,7491064,7354365,7264335,7361598,7276848,7566799,7434449,7391603,7366666,7388199,7484015
 "23000","Maine",1,CAGDP9,87,"11, 21","Natural resources and mining ","Thousands of chained 2012 dollars",1225875,1163909,1151290,1040997,1061797,1139224,934852,925642,983917,1015545,897928,884966,855658,873845,1052867,1041491,1009774,1010686,999693,986998,844084
 "23000","Maine",1,CAGDP9,88,"42, 44-45","Trade ","Thousands of chained 2012 dollars",7131495,7497956,8006044,8229923,8189706,8208219,7908180,7710547,7264232,7397919,7253509,7247399,7344740,7511954,7807514,7922385,8040373,8212233,8344765,8434146,8680265
 "23000","Maine",1,CAGDP9,89,"22, 48-49","Transportation and utilities ","Thousands of chained 2012 dollars",2010201,1955969,1911269,2008572,2052847,2256269,2282949,2264842,2122345,2221602,2146643,2130513,2136218,2106671,2062865,2103102,2139209,2093103,2081646,2027706,2002092
 "23000","Maine",1,CAGDP9,90,"31-33, 51","Manufacturing and information ","Thousands of chained 2012 dollars",6054392,6045690,6195893,6789910,6977040,7043275,7248631,7218732,6862565,7077262,6697988,6481264,6343037,6334886,6194760,6542341,6891592,7161258,7445732,7534211,8241291
 "23000","Maine",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",9472964,9202152,9374794,9890271,9794127,9761541,9608456,9285820,8904847,9053470,8569699,8316326,7918817,7913770,7797366,8019667,8368736,8538445,8786702,8835298,9287484
 "23000","Maine",1,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",32451636,33995978,34977491,36414838,37139331,37671809,37760623,37311672,36802002,37431281,37729239,38009040,38058052,38766500,39361860,39985551,40677858,42188194,43425229,43683952,46863589
 "23001","Androscoggin, ME",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",3455053,3717752,3834321,3924543,3923131,3980837,4107040,4169430,4003212,3946847,3905083,4032657,3952046,4000070,4071771,4132657,4085241,4235842,4349255,4416232,4616143
 "23001","Androscoggin, ME",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",3078493,3331346,3452818,3544043,3540328,3601964,3730139,3785383,3631635,3579696,3553212,3682805,3601957,3643913,3726591,3769054,3726534,3871691,3988582,4055442,4253322
 "23001","Androscoggin, ME",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",74661,(D),(D),(D),(D),45865,(D),(D),119587,(D),75598,(D),(D),114139,205884,167198,125968,164940,107065,115524,110423
 "23001","Androscoggin, ME",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",0,(D),0,0,(D),0,0,0,0,1440,1539,2458,2469,2209,3327,6245,7180,11386,9388,16867,17506
 "23001","Androscoggin, ME",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",45129,44572,34178,31386,36670,42525,43191,46201,42591,(D),43502,(D),(D),56273,55740,56444,56725,56107,60403,63722,54614
 "23001","Androscoggin, ME",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",227116,223400,(D),(D),(D),197954,(D),(D),154534,119613,154021,168933,159602,149568,147981,157558,150370,157732,149072,157303,140333
 "23001","Androscoggin, ME",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",419118,434217,446038,501665,543448,573418,616299,650447,542795,510540,470197,505612,465861,456664,440375,455747,464941,470257,497564,519232,541252
 "23001","Androscoggin, ME",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",143768,148525,148215,154990,163434,157025,148424,164989,147521,150836,150732,147346,148677,139518,143271,142612,140748,148657,155123,162924,156679
 "23001","Androscoggin, ME",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",269817,279991,292344,342367,376336,415939,471697,488014,396143,359849,319300,358266,317166,317158,297218,312984,323847,321324,342146,356008,384536
