GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",4922832,4979332,5058616,5174625,5295114,5724189,5898491,5973018,5821603,6010804,6061340,6222396,6253651,6335952,6215814,6113607,6253877,6556129,6794629,7068659,7312264
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",3693063,3693569,3769870,3887711,4027023,4450472,4616779,4702752,4544560,4701906,4773824,4933947,4996868,5096059,4997170,4842336,4967501,5279281,5530095,5773347,6009127
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",88679,44132,74117,77328,74064,28134,85576,(D),38846,(D),56026,18471,45759,18466,16912,26858,(D),20808,(D),(D),28987
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",247772,247434,203975,220910,254881,384300,407452,413304,376147,352634,385782,449341,432079,396754,303790,219405,268634,297224,287947,238545,208856
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",40509,43791,(D),(D),(D),(D),(D),(D),111566,(D),(D),(D),125861,153302,133839,149445,(D),155057,(D),(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",255323,269257,266220,253221,261200,271141,302282,333910,320484,309810,295856,314714,327576,334532,311529,275855,257177,276067,282146,263215,248627
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",302159,236539,230365,274338,276214,294779,315403,296839,252757,268705,287614,299503,308986,295373,293002,268449,284164,310798,301509,280546,305274
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),137422,160668,165517,166038,162420,150145,146904,154422,(D),153254,148252,165467
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),132103,126923,133986,143012,132854,143408,121211,129495,(D),149263,132514,139612
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",210354,219726,248062,282774,281200,331728,353770,373842,317657,347685,375699,419144,426869,419032,385597,361233,(D),(D),(D),(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",395477,416446,443710,459547,489207,493469,466356,461603,454684,473527,466141,476108,493507,513141,518130,522656,537147,579057,604277,591740,611708
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",(D),(D),104052,112789,113805,115413,119776,(D),(D),(D),102704,111900,117732,142877,140931,129397,136064,148932,160273,146938,125868
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),197956,198199,224940,213961,(D),(D),260265,282976,286119
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",679004,693636,692725,660103,715162,838610,833565,810352,879784,926259,931780,949856,932080,976796,983649,978416,1031312,1090093,1126048,1531982,1601316
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",206451,217029,219116,187467,205195,218444,246250,250641,297674,295653,290238,296386,286997,291700,291225,295575,289581,312283,318518,326831,350850
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",472695,476766,473744,473553,510875,622265,587946,560038,583248,630772,641535,653470,645106,685364,692792,682919,743192,778839,809024,1217629,1262728
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",254084,270560,280293,(D),(D),300758,(D),369517,350348,353616,388859,(D),412729,441265,426650,400538,406403,(D),509840,497643,576386
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",(D),(D),154532,147783,(D),(D),(D),(D),(D),(D),(D),(D),227293,244034,237445,223216,221340,223632,302716,275145,256760
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),120525,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",648595,673100,701862,745641,716705,715869,710719,737144,778155,779579,774828,774783,769797,771607,813139,841157,859798,896063,926823,908274,940466
