GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "30000","Montana",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",31532614,32503668,33810537,35528617,37373938,38577557,40438290,40471099,39513414,40793749,41875685,42340869,42968239,43829121,45395732,44436808,45974276,46584123,46886242,46750440,48976203
 "30000","Montana",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",25884374,26758015,27845044,29530703,31357825,32444344,34194344,34123910,33150588,34405889,35456993,35911467,36760431,37582760,39149517,37976630,39457369,40216170,40435993,40267009,42510997
 "30000","Montana",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",1095234,1267787,1331246,1582897,1827505,1471788,1558012,1699646,1893385,1920433,1677228,1826329,2063776,2180016,2487273,2637116,1884300,2387413,2590279,2519639,1762105
 "30000","Montana",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",1942280,1786482,1758030,1892962,2091180,2347149,2518192,2441576,2404266,2423143,2593766,2704291,2877727,2809905,2711874,2079589,2172192,2178070,2196869,2555405,2004368
 "30000","Montana",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",781867,768052,764813,793639,751508,779173,834470,889884,867591,942524,1023061,1032055,1028846,959040,976112,1016612,1000083,930543,973241,989361,902658
 "30000","Montana",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",2102399,2076010,2255013,2355156,2487380,2519363,2717423,2455603,2218624,2049678,2016064,2098262,2091411,2069520,2114609,2087673,2071340,2121212,2130600,2197117,2337463
 "30000","Montana",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",2460492,2327511,2763112,2929117,2813404,2910516,3572578,2913769,2255605,2527688,2766792,2617833,2773477,3220692,3687261,3024878,4170068,4125043,3345988,2785650,3173869
 "30000","Montana",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",726827,656621,701571,695396,735062,718207,799670,797691,700077,693558,764940,816045,911382,913962,960995,978744,994964,943151,899328,900158,988686
 "30000","Montana",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",1603569,1594598,2087281,2326477,2093830,2241281,2882059,2127842,1511717,1839417,2004443,1801788,1857980,2334849,2786288,1985447,3329817,3352322,2526469,1835304,2150858
 "30000","Montana",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",1639676,1727485,1858852,2005219,2067137,2138263,2222388,2250998,2009940,2118092,2155985,2308377,2441763,2476625,2552318,2501544,2485168,2576237,2520327,2609715,2767204
 "30000","Montana",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",2113267,2276653,2342970,2437410,2659737,2757888,2772399,2734013,2684467,2890994,2816722,2736943,2665202,2693126,2802309,2922663,3037909,3143928,3256694,3244699,3374397
 "30000","Montana",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",1424094,1383328,1480955,1613678,1719603,1817440,1805976,1835678,1709568,1817844,1804712,1895901,1929671,1946140,1896293,1777662,1842538,1926272,1859242,1669012,1792873
 "30000","Montana",7,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",550340,629557,651705,754787,815660,861106,901943,952781,990351,1064774,1038289,999321,1071770,1032986,1117489,1163810,1237210,1258810,1273994,1412245,1657321
 "30000","Montana",7,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",4945346,5105865,5114399,5423816,6095208,6326223,6598253,6798162,6915515,7275750,7858841,7618245,7764170,7888556,8163141,7778940,8100185,7985662,8233864,8363784,8913625
 "30000","Montana",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",1264717,1426030,1431752,1429720,1577943,1632170,1677306,1690955,1954839,1838143,1915637,1915906,1809907,1895198,1909061,1892746,1941320,1943937,1989539,2118310,2332510
 "30000","Montana",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",3679040,3673360,3675969,3994292,4519903,4697313,4926927,5116224,4973971,5438446,5942545,5702339,5955977,5992581,6256752,5882439,6158455,6036274,6241657,6224971,6546628
 "30000","Montana",7,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",1902087,2024332,2121255,2136522,2256724,2410551,2626886,2811825,2705478,2858331,3002925,3221981,3043168,3138660,3240557,3252324,3404972,3556150,3748014,3927690,4545974
 "30000","Montana",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",1279928,1388484,1419682,1430402,1495941,1567456,1670742,1817010,1739592,1809081,1882938,2042732,1952890,2045478,2118556,2172264,2268582,2359849,2518237,2673812,3026372
 "30000","Montana",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",116903,119472,120017,89953,90931,97236,117142,139045,141911,152432,178626,201575,205310,202565,217279,216426,224656,233777,248260,265926,338091
 "30000","Montana",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",516803,529681,590986,618375,670727,745758,838789,856366,824568,896936,941353,977674,885061,890739,905439,865955,913670,963926,985197,995483,1191035
 "30000","Montana",7,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",2746361,2901269,2980138,3125723,3240209,3410706,3435002,3695943,3849330,3897011,3993113,4060283,4172434,4246442,4465786,4605678,4846048,4909344,5062927,5062856,5344747
 "30000","Montana",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",165431,164043,165125,177811,173285,190058,189940,194828,206927,208176,223396,220432,221712,226323,226609,232293,233115,238440,242280,214941,240634
 "30000","Montana",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",2582856,2737821,2815205,2948612,3066675,3220897,3245231,3500858,3642277,3688666,3769765,3839852,3950768,4020148,4239679,4373968,4614148,4671993,4822012,4851140,5106553
 "30000","Montana",7,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",1542801,1627684,1709317,1785962,1761150,1858725,1885301,1820673,1752045,1761171,1836689,1904915,1967008,2062265,2108239,2091735,2116516,2145790,2210272,1956992,2497623
 "30000","Montana",7,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",365541,390601,423050,428544,445646,485346,512024,513616,503668,495409,498435,489237,491697,537356,521940,527633,559260,565059,561082,457249,597589
 "30000","Montana",7,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2012 dollars",1181024,1240759,1289265,1361575,1317985,1375057,1373923,1306973,1248118,1265563,1338140,1415678,1475223,1525183,1585933,1564040,1558243,1581632,1648964,1498660,1898741
 "30000","Montana",7,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2012 dollars",980719,1012445,972598,979572,1009443,999789,979144,943683,902698,891614,879118,886731,875309,894895,903973,897286,913235,948165,964015,924689,965607
 "30000","Montana",7,CAGDP9,83,"...","Government and government enterprises ","Thousands of chained 2012 dollars",5654340,5749248,5969066,5998739,6012880,6128769,6236786,6341112,6354814,6385360,6418600,6429401,6210628,6251438,6262861,6449468,6518525,6385003,6464593,6493273,6502204
 "30000","Montana",7,CAGDP9,87,"11, 21","Natural resources and mining ","Thousands of chained 2012 dollars",2896035,2982935,3035129,3444867,3891067,3828708,4088086,4141722,4267868,4311827,4272596,4530621,4943430,4994327,5213733,4752516,4094583,4577834,4787349,5091683,3776315
 "30000","Montana",7,CAGDP9,88,"42, 44-45","Trade ","Thousands of chained 2012 dollars",3754801,4008432,4201292,4438050,4727583,4897089,4993024,4981151,4694162,5008943,4972536,5045321,5107332,5170154,5354979,5423759,5520850,5717993,5767681,5848757,6136052
 "30000","Montana",7,CAGDP9,89,"22, 48-49","Transportation and utilities ","Thousands of chained 2012 dollars",2209463,2155916,2243762,2399852,2451048,2573465,2624945,2713506,2569776,2754876,2828957,2927956,2958551,2904258,2872251,2793425,2842671,2858560,2832409,2653928,2694277
 "30000","Montana",7,CAGDP9,90,"31-33, 51","Manufacturing and information ","Thousands of chained 2012 dollars",2857718,2881244,3265291,3560019,3547436,3692452,4338749,3807172,3269227,3607483,3804627,3617153,3845423,4245881,4793370,4201626,5394580,5369843,4595373,4185953,4816641
 "30000","Montana",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",7463756,7380595,8056698,8716702,9182173,9254818,10347891,9527171,8819302,8903583,9046633,9246716,9805693,10261102,10983343,9897427,10436248,10857418,10242419,10047525,9526494
 "30000","Montana",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",18493334,19352803,19870940,20942628,22299494,23281367,24008490,24696548,24373639,25509755,26410695,26664752,26959727,27336934,28213050,27967432,28936825,29310230,30025308,30016812,32568783
 "30001","Beaverhead, MT",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",300549,271671,289639,313196,354781,331608,334863,327299,332714,315735,341064,327893,362945,404303,432306,431850,384523,376217,418391,403245,386950
 "30001","Beaverhead, MT",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",238174,210072,223070,246199,287656,264903,267956,263313,268496,255419,278576,265445,300972,343212,368007,363485,315059,309693,353115,336399,318805
 "30001","Beaverhead, MT",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",40810,(D),(D),30061,52925,10171,10595,3822,18927,5812,11493,38641,59110,105371,138502,146152,73971,64247,(D),(D),37448
 "30001","Beaverhead, MT",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",45326,37362,40843,39152,40698,41651,44589,35575,34936,29928,27471,23086,21886,22099,22641,18159,21270,21124,22583,27961,(D)
 "30001","Beaverhead, MT",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",2166,2382,2173,2154,2084,2093,2095,2228,1996,2114,2219,2261,2429,2196,2194,2453,2373,2052,2092,2167,(D)
 "30001","Beaverhead, MT",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",13245,13096,13578,13103,17790,14484,12763,13587,14232,14111,12321,13150,12821,13093,11962,12095,11886,11720,11644,11995,12879
 "30001","Beaverhead, MT",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",2671,2920,2237,2239,1897,1851,2337,2681,2861,2619,2145,2265,3468,3742,3140,3107,2868,3450,4023,3884,4190
 "30001","Beaverhead, MT",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",1159,1618,1338,1194,1043,826,1108,1315,1537,1108,939,847,963,1067,1023,1019,869,795,771,992,1072
