GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "33000","New Hampshire",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",57632642,59474556,61892740,64408559,65034353,66628179,66853617,65854104,65023435,67125772,67559125,68498086,69080289,70213718,72042399,73572181,73972729,75432960,76819060,75927611,82986259
 "33000","New Hampshire",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",50021890,51780052,53954051,56424135,56930117,58414775,58536655,57438492,56845625,58784103,59453767,60570116,61224084,62333767,64368858,65891188,66259486,67818640,69182135,68439912,75587044
 "33000","New Hampshire",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",214456,220312,240693,241445,223148,240766,191051,211168,210161,204220,195575,227057,224539,228924,264190,261632,263808,235804,246733,242000,176508
 "33000","New Hampshire",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",107747,141001,139533,125270,117331,133623,153877,118418,82920,77076,49887,67679,58666,72994,81603,124761,104324,191910,178188,140468,135065
 "33000","New Hampshire",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",981846,986039,1029823,1167844,1088955,1034856,1012764,1102418,1199912,1289916,1259432,1259087,1234848,1161457,1163411,1184053,1196125,1179731,1119922,1165821,1100886
 "33000","New Hampshire",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",3614664,3479810,3473174,3632938,3388820,3115763,2690769,2296120,2118631,2090533,2082248,2087963,1977755,1888199,1897899,1925278,1981477,2002056,2039187,2034824,2087884
 "33000","New Hampshire",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",5598644,5738069,6364986,6622875,6240828,6894893,7189258,6845790,6488296,7151801,7485932,7282211,7908841,7296697,8196687,8575366,8132196,8835323,8862994,8740658,9205779
 "33000","New Hampshire",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",3576831,3863193,4428035,4708451,4371305,4964568,5205344,4964606,4640862,5338245,5809630,5629603,6171560,5508446,6374139,6587434,6151445,6865946,6742052,6708505,7058910
 "33000","New Hampshire",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",2284766,2028672,2031470,1964299,1945066,1964023,2010347,1904791,1880114,1825444,1675886,1652608,1737320,1787453,1825080,1987658,1976600,1972616,2118394,2031792,2145861
 "33000","New Hampshire",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",3953930,4001137,4138418,4246858,4342873,4386855,4465259,4487411,3977267,4174421,4198890,4311985,4486516,4665903,5030890,4999315,5031161,5072019,4996804,5327721,5860887
