GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "35000","New Mexico",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",71730549,73909572,76767510,83038711,84034421,86058429,86738754,86965227,88069943,87610250,87592907,87925207,86856596,88991168,89701288,89151354,88962870,90933634,94897411,92496288,93625052
 "35000","New Mexico",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",52068162,53585030,56138559,61873303,62786469,65102416,66133898,66141829,67164724,66610789,66571108,66821817,66052845,68490722,69455526,68538703,68473085,70580972,74367660,71707263,72674660
 "35000","New Mexico",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",1623065,1403272,1325568,1631597,1889299,1646606,1614763,1438008,1342301,1750494,1597673,1405807,1368636,1679583,1641110,2059826,1936720,1882929,2014145,1794592,1319106
 "35000","New Mexico",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",8419743,8862781,7870507,7685562,7812884,8388170,8629684,8126066,9226388,8246353,8557330,9284091,9584371,10445483,11186018,9373428,9394390,9963073,12609689,13487171,10384447
 "35000","New Mexico",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",1176285,1100948,1077578,1141783,1104024,1224711,1225010,1313204,1256279,1417379,1504237,1559923,1551869,1488634,1439282,1522414,1484475,1427658,1471081,1541307,1444554
 "35000","New Mexico",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",3960015,3709774,3926986,4194942,4430427,4543462,4608974,4496676,3761860,3337019,3098996,2940133,2879519,2802779,2835781,2796892,2900036,2989677,3164599,3059152,3002348
 "35000","New Mexico",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",3186641,2965320,4338279,6516993,5812148,5476527,4646542,3470749,5036801,4475651,3845170,3770249,3319418,3703682,4150427,4070463,3941481,3983021,4484547,4090934,4134174
 "35000","New Mexico",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",1840733,1658535,2838243,4801337,4319637,4115989,3293607,2169931,3794540,3340076,2778405,2536000,1937531,2139750,2001999,2034951,1871740,1998703,2045592,2007805,2048442
 "35000","New Mexico",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",2173473,2205039,1972520,1574649,1325320,1161665,1325592,1429880,1211210,1114941,1060053,1234249,1383735,1566288,2160049,2040046,2085859,1997393,2460109,2080512,2081514
 "35000","New Mexico",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",2837204,2892862,2978845,3076822,3146072,3276170,3300305,3319706,2748989,2903496,2818857,2883805,2927238,3026784,3074005,2993915,2974417,2971750,3037617,2910793,2908864
 "35000","New Mexico",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",4623863,4887190,5123337,5366005,5296108,5505180,5452151,5324131,5236458,5165103,5018384,5068736,5064489,5187774,5249238,5347032,5339026,5563015,5674314,5445975,5538444
 "35000","New Mexico",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",1835456,1865860,1977197,2163511,2268893,2393002,2360697,2389272,2053886,2102443,2260156,2233873,2198034,2308551,2257997,2085099,2152203,2341481,2303527,2062922,2168196
 "35000","New Mexico",6,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",1487508,1598889,1642679,1722622,1843079,2043439,2326930,2891087,2797908,2893697,2739175,2750601,2563675,2440034,2703858,2834160,2742597,2745115,2707336,2391836,2969325
 "35000","New Mexico",6,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",9192944,9912131,9319045,9934780,10770709,11026270,11722019,12545456,12654967,13277106,14073396,13839575,13812498,14184237,13653701,13319264,13103409,13430618,13341971,13162508,13477395
 "35000","New Mexico",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",1959576,2232441,2083990,2151000,2297459,2328061,2289164,2206897,2509387,2371616,2501799,2501681,2339183,2639374,2757390,2755388,2596427,2720092,2674433,2959971,3161896
 "35000","New Mexico",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",7214018,7656431,7213730,7765290,8455295,8681396,9427823,10344401,10159822,10905349,11571188,11337894,11474919,11537536,10877619,10541313,10494134,10690717,10651466,10148894,10246485
 "35000","New Mexico",6,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",6505067,6863580,7152363,7258779,7494393,8312016,9000948,9391600,9149881,9252103,9269440,9103934,8875793,9070692,9030783,9113383,9476022,9929851,10514633,10707683,11532770
 "35000","New Mexico",6,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",4186165,4508072,4723302,4832390,4869398,5624126,6202874,6478426,6379094,6435798,6377353,6268767,6083025,6302102,6335465,6484302,6664237,6954293,7323788,7568874,8043529
 "35000","New Mexico",6,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",619016,613827,564924,511042,578457,534654,492379,460937,447283,455514,460696,475213,472322,494073,498107,503680,533598,582715,640449,692961,739935
 "35000","New Mexico",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",1734742,1776489,1881023,1920813,2053852,2156479,2306342,2451668,2324200,2361283,2431399,2359953,2320452,2275782,2200126,2131795,2281952,2398346,2557641,2469506,2763235
 "35000","New Mexico",6,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",4403125,4763941,5110380,5449313,5619843,5855479,5917826,6358904,6600040,6666998,6778678,6892749,6823571,6870647,7136643,7399213,7382565,7477311,7638050,7384290,7671122
 "35000","New Mexico",6,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",438653,424947,463211,527866,522735,517752,520781,559301,585320,605758,590365,582304,552267,537890,513270,533907,497746,497800,512674,448719,480199
 "35000","New Mexico",6,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",3970247,4338132,4647207,4925318,5099104,5337952,5397129,5799680,6014975,6061965,6188454,6310445,6271551,6333547,6626244,6868189,6889878,6985102,7130750,6944636,7199173
