GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "39000","Ohio",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",502967596,513215471,519939357,534064633,545968737,545504146,546729335,537124110,511076466,523979362,541180187,545740145,556210522,574177931,578852371,583946352,593635999,597925518,613251353,594143599,629287041
 "39000","Ohio",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",438390229,448445731,454918112,469007066,481338354,481694406,483203642,473166313,448247315,459820661,477998407,482486372,494089462,512794424,517837605,522073993,531262563,535944074,550970169,532710544,567825857
 "39000","Ohio",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",3023365,3037861,3121149,3796845,3545064,3922361,3435945,3373674,4763037,4018870,4549107,3773639,4877211,4609925,3814523,3966634,4704681,5566237,3983377,5477558,5323595
 "39000","Ohio",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",3477876,4066152,3375705,3294007,3053809,3247693,3370919,3224296,3899160,3183490,3284337,3120810,4270459,5758986,8601657,8621736,7220544,6814186,8243394,10991130,6984891
 "39000","Ohio",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",8681746,8525498,7809634,7775462,7209295,7595963,8702157,9139700,8753337,9582174,9774444,9942666,9791864,9401798,9416450,9896004,9582678,9404865,9078440,9282484,8963835
 "39000","Ohio",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",25806611,24559368,24462487,24677704,22930459,20657335,19362004,17888391,16276725,15160785,16037705,17242226,17540217,17518452,17814237,18247280,19429402,19315287,19575608,19030724,19422365
 "39000","Ohio",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",95526201,98404329,100169490,106867436,107925332,109198491,108610232,100753116,82903964,89216377,95473094,92057879,94486876,103836742,100035464,99971916,101901703,102315207,103747282,97409457,104658938
 "39000","Ohio",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",52707169,53973564,55332601,60211521,62679395,63030423,62015654,58853994,38482253,45231552,51554046,52334333,53036774,55377385,55214545,55111102,56904078,55441828,55870887,51286981,56653041
 "39000","Ohio",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",42535627,44302787,44517312,45750264,43473474,44524630,45198185,40193460,45496583,44344955,43972930,39723546,41456450,48579090,44814612,44863340,44930794,46919016,47947486,46318497,48107946
 "39000","Ohio",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",30794925,31036257,32325762,33266157,34465924,35625486,36415861,36656891,31684259,33198832,33343609,34067369,35012205,36589254,37846217,37644956,38016019,38049759,37639388,37418751,39384753
 "39000","Ohio",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",34811864,35843675,38050419,37826149,37495080,35151062,33929649,32488153,31406904,31654266,32174468,31787161,33051850,33839090,35196272,35920860,37336075,37114596,37695460,36811213,37710829
