GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "40000","Oklahoma",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",128891186,131293287,133417242,138096821,143471145,152857692,156219527,162386987,160091629,160564163,166327192,174874417,177698858,189359998,197071897,193025135,194017162,197453215,201161507,192485453,193230034
 "40000","Oklahoma",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",106157943,108004274,110111140,114604978,119130832,127804344,130508198,135896777,133287797,133272439,139167118,148394863,151309528,163137447,170692917,166528462,167242918,170529308,174105873,165169944,165843164
 "40000","Oklahoma",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",2281423,2892579,2710319,3205965,3596425,2980564,2322011,2497721,2105411,2829485,2784305,3042307,2950422,3596053,3897681,3634002,3799828,3901217,3624185,3386608,2865246
 "40000","Oklahoma",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",12004623,13171286,12879600,14328443,15268827,18287850,20000827,20503525,24099819,21870022,23115177,24857815,27345257,33911500,42014202,42607611,42444732,42258501,46028162,39404155,29381877
 "40000","Oklahoma",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",2911843,2789727,2848739,2908089,2786288,2951986,3160730,3411115,2974734,3444739,3745140,4152444,3939897,3993434,3678442,3781636,3550538,3481452,3793994,3481680,3397928
 "40000","Oklahoma",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",6474952,6084210,6038584,5967794,5917446,5875462,5670088,5839724,5857134,6219095,6355195,6697221,6738958,6353492,6165521,5792212,5544220,5543267,5599477,5268689,5415794
 "40000","Oklahoma",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",14988573,14071404,15503757,15681268,16535705,18913917,18318092,21523876,17365340,15748377,16834208,17816131,17103118,18002071,17689926,15853609,17042042,18783670,19314802,16911818,17362737
 "40000","Oklahoma",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",8047058,7477416,7689634,8128961,8781971,9531862,10040133,10898172,8314143,8474000,9589751,9812294,10105966,10318772,9442912,8693560,9384382,10846053,10666968,9232772,9526105
 "40000","Oklahoma",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",6936102,6631229,8143151,7713457,7830607,9634454,8320122,10878966,9405940,7332572,7237762,8003837,6969404,7683099,8339783,7193416,7682867,7873555,8677040,7742869,7888650
 "40000","Oklahoma",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",6890150,7211952,7286627,7720093,7931795,8537088,8844367,9059896,7785880,8156073,8960729,10022971,10176129,10447307,10103910,9294588,9031765,9047630,8954742,8453740,8661333
 "40000","Oklahoma",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",8403208,8683674,9007993,8877190,9207857,9662020,9421658,9292182,9310195,9656730,9750914,10096618,10311874,10366869,10440038,10387654,10371100,10691345,11052735,11181201,11287262
 "40000","Oklahoma",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",4359781,4073083,4299785,4635205,4867901,5231063,5421985,5618939,4802693,5005226,5806196,7282550,8019914,9508705,10490587,10616805,10441911,10396410,9215785,9062282,9146619
 "40000","Oklahoma",6,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",3023101,3300998,3141299,3466509,3993745,4048359,4197204,4351648,4035535,3946649,3869743,3689561,4046196,4236400,4824859,5287692,5740148,6057346,6032039,6113458,6832403
 "40000","Oklahoma",6,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",17698080,18323581,18267451,18888086,19635851,20344374,21655698,20991800,21465812,22175838,23005535,24704033,24089278,24839697,24488859,23945613,23640665,23532592,23795145,23515311,24866168
 "40000","Oklahoma",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",5154666,5609081,5421231,5440054,5736851,5781025,5732848,5216873,6275930,5937764,6063153,6417603,5928211,6692915,6463042,6557096,6408448,6186460,6123420,6115856,6923688
 "40000","Oklahoma",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",12483089,12640496,12782570,13396151,13838101,14515119,15911744,15787441,15221720,16240626,16943120,18286430,18164795,18126862,18014361,17359471,17209847,17348932,17694879,17413168,17900697
 "40000","Oklahoma",6,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",10108297,10164224,10636678,10976515,11292475,11799609,12267558,13235248,12245827,12865242,13662120,14341829,14554665,15064547,15047211,14349323,14890322,15660180,16455152,16069731,17384569
 "40000","Oklahoma",6,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",5119024,5334297,5406504,5440107,5606020,5741552,6032268,6489410,6258010,6450520,6754640,7059712,7192229,7391307,7496961,7281845,7388362,7759140,8103268,7714410,8178151
 "40000","Oklahoma",6,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",1581447,1498512,1654307,1580356,1445023,1562771,1457535,1637974,1533037,1696734,2018893,1984770,2077139,2203535,2298132,2207280,2314047,2419496,2867435,3159306,3507805
