GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "41000","Oregon",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",136166117,138932534,144802802,152001094,158163433,166107196,168975134,173598450,165527217,169234019,173831737,174610955,175933798,181220579,189946540,198079311,205524017,214902549,219587988,215743621,227979057
 "41000","Oregon",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",112794370,115497165,121452674,128715093,134855180,142051506,144978105,149110373,140990526,144697118,148756638,150395023,152167622,157155770,165481395,173176075,179896543,188725489,192430094,188967421,200758164
 "41000","Oregon",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",3881465,4291870,4594940,4509517,4845667,5523983,4215166,4125081,4362035,3776712,3513425,3661526,3835665,4112967,4705859,5304253,4621429,5195909,4825510,4939058,4290184
 "41000","Oregon",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",477814,508393,528586,557598,529072,507597,575820,390381,353990,270207,234457,200314,213360,224134,228389,310292,319517,333087,303650,336253,370873
 "41000","Oregon",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",1950071,2052636,1916274,2101238,1828785,1953800,1853105,2371869,2065970,2566991,3163091,3016307,2830990,2549065,2373416,2700213,2690871,2455071,2632793,2859502,2778363
 "41000","Oregon",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",8715637,8044670,7811108,8174511,8557010,9069372,9145645,8270980,6574084,5652509,5522873,6089362,6286804,6452565,6598991,7219906,7796894,8392817,8584365,8573046,8765197
 "41000","Oregon",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",12660689,14078302,16322833,19503653,20086225,22272724,23224502,25180483,23660830,25466806,28038501,26783712,27352430,27774692,29394406,30166674,30956480,33254020,32611257,33687678,33587330
 "41000","Oregon",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",8596011,9661869,11887516,14334719,14751589,16511554,17458907,19822458,17975872,20256346,22916086,22108862,22212848,22525621,23820380,24762682,25188441,27130642,26452775,27371818,26866197
 "41000","Oregon",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",5100418,5449574,4939763,5652206,5841804,6215974,6101787,5351717,5823977,5256333,5128673,4674849,5137068,5245870,5569518,5428105,5770629,6132596,6153640,6315826,6679632
 "41000","Oregon",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",9903366,10096576,10821713,11690216,12279827,12593473,13045965,12983416,11151968,11606981,11509406,11947664,10408905,10647753,11143224,11391979,11623391,11813804,11852555,12020954,12761030
 "41000","Oregon",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",8862449,9199059,9575166,9703350,9980198,10336948,10077899,9497289,8998462,9148602,8945296,9074832,9372805,9554306,10100313,10641509,11341961,11889389,12222567,11892740,12326525
 "41000","Oregon",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",4379315,4280652,4504202,4948946,5256827,5360300,5287365,5144689,4697874,4930592,4875117,5033371,4978171,5134990,5214478,5387296,5675093,5844009,5947494,5336014,5691420
 "41000","Oregon",8,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",3916326,3953371,4115364,4591798,4851529,5182671,5827702,6244883,6073112,6346409,6470081,6351963,6630369,6840185,7545469,7920713,8941311,9888950,10213664,10917924,12778951
 "41000","Oregon",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",26782309,26345049,26420915,25680222,28316444,28771152,30159279,31821432,32006864,32804122,32861747,32808303,32451329,33518452,34628801,36402020,37377613,38483503,39577883,38227582,40219981
 "41000","Oregon",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",6400107,6710781,6717250,6483479,6911583,7251082,7287335,6527716,7939527,7403780,7582313,7882218,6977600,7879935,8312463,8809814,8343641,8454199,8723754,8449261,9287941
 "41000","Oregon",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",20328142,19576673,19646176,19143057,21358002,21459543,22827750,25292480,24100665,25393906,25276548,24926084,25481719,25622154,26290818,27561343,29052284,30062684,30884868,29805429,30918953
 "41000","Oregon",8,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",14739931,14550163,14881521,14936234,15531667,16097423,16608941,17396825,16142852,16599773,17145229,17951979,20245261,21676657,23249540,24262026,25891775,27733972,29211457,29397612,33056786
 "41000","Oregon",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",7311979,7184356,7221964,7472982,7509049,7761031,8115255,8830640,8352290,8607792,9101151,9520064,9808908,10386086,11040379,11808726,12596558,13687308,14182121,13848459,15223013
 "41000","Oregon",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",4049661,3769823,3898017,3580164,3655092,3735427,3686626,3764574,3423583,3468005,3488228,3625854,5558527,6174598,6959239,7143385,7674108,8153437,9019650,9854739,11430011
 "41000","Oregon",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",3544773,3688709,3858229,3917006,4378083,4604386,4801966,4798432,4365520,4522440,4555834,4806061,4883091,5127200,5278619,5342130,5660544,5938041,6110425,5913849,6696530
 "41000","Oregon",8,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",11543295,12058954,12856360,13486595,13808755,14798821,14967738,16056924,16005126,16183617,16467158,16974630,17200217,17613313,18757992,19552912,20045987,20525152,21242542,20973740,21867132
 "41000","Oregon",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",1328408,1321296,1412563,1562576,1541263,1613116,1580241,1695809,1816286,1862717,1875826,1962227,1924235,1883116,1860004,1892146,1785037,1813091,1829335,1625212,1651147
 "41000","Oregon",8,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",10220698,10734418,11440841,11929857,12268158,13183788,13382673,14355966,14188237,14321129,14591114,15012403,15276637,15733488,16908030,17673690,18283621,18736317,19441961,19391263,20264006
 "41000","Oregon",8,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",5368052,5528760,5571422,5791281,5894473,6112537,6221986,5742963,5385898,5633267,6213669,6619261,6539380,7120735,7631394,7951494,8462411,8854710,8907844,6629125,8748237
 "41000","Oregon",8,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",1109178,1168323,1154749,1160148,1167847,1199610,1258032,1043555,1004049,1059826,1374363,1533722,1540231,1629777,1646382,1746916,1857632,1963008,1978550,1287245,1810828
 "41000","Oregon",8,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2012 dollars",4254438,4354462,4412018,4629245,4725688,4912820,4961206,4703645,4384998,4576593,4839835,5085539,4999319,5490384,5982111,6202524,6602534,6890330,6928143,5331094,6929982
 "41000","Oregon",8,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2012 dollars",4092603,4057910,4090657,4433610,4600327,4679813,4550824,4257585,3903824,3826295,3769706,3881797,3835618,3968144,4076434,4170772,4211677,4392393,4450247,4104775,4388216
 "41000","Oregon",8,CAGDP9,83,"...","Government and government enterprises ","Thousands of chained 2012 dollars",24079108,24050946,23755759,23488083,23377388,24075243,23970608,24449270,24548654,24538446,25076015,24215932,23771863,24080985,24511607,24979514,25716354,26303213,27261166,26870801,27407596
 "41000","Oregon",8,CAGDP9,87,"11, 21","Natural resources and mining ","Thousands of chained 2012 dollars",4343773,4792638,5122512,5048720,5378552,6050924,4780689,4526018,4724584,4049157,3748589,3861841,4048844,4337378,4936805,5616058,4944050,5530032,5129364,5279040,4667926
 "41000","Oregon",8,CAGDP9,88,"42, 44-45","Trade ","Thousands of chained 2012 dollars",18828710,19369522,20458500,21423507,22281311,22956323,23126845,22464317,20150825,20755453,20454537,21022496,19778807,20199211,21240267,22028511,22953027,23680156,24038930,23894633,25069517
 "41000","Oregon",8,CAGDP9,89,"22, 48-49","Transportation and utilities ","Thousands of chained 2012 dollars",6262518,6270634,6354207,6977307,6997546,7229162,7051749,7454534,6700571,7466114,8044327,8049678,7808651,7675374,7574952,8069492,8351649,8291721,8569368,8174340,8449432
 "41000","Oregon",8,CAGDP9,90,"31-33, 51","Manufacturing and information ","Thousands of chained 2012 dollars",16394272,17925494,20413321,24122588,24946154,27492151,29046817,31425098,29726998,31809868,34508472,33135675,33982619,34613749,36931832,38073038,39844387,43066675,42710207,44457332,46017533
 "41000","Oregon",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",23412335,25097596,27950958,31969135,33141137,36468432,36665870,37710409,34648866,35103195,37318890,36734914,37689635,38566579,40877453,42916290,43846236,47298056,46596912,47740147,47378585
 "41000","Oregon",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",91218732,91767789,94324715,96838695,101910837,105431979,108253968,111334842,106343741,109609897,111432001,113660109,114479442,118587995,124608337,130270750,136018120,141475180,145764089,141321448,153239599
 "41001","Baker, OR",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",435139,436413,410681,444370,434723,468822,466939,471968,500867,519852,535443,487004,525367,534819,530846,564280,546759,551382,570429,563824,572947
 "41001","Baker, OR",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",324167,322920,301487,339985,339010,362476,369480,377969,402303,417238,425247,392906,435646,444512,440769,474170,453953,458456,475877,473629,479621
 "41001","Baker, OR",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",36296,27862,5183,8965,5367,6345,22505,26394,41417,52421,15224,6401,69625,80052,62478,75337,26386,32145,36061,49035,31394
 "41001","Baker, OR",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",7194,7073,1960,1747,1793,1452,3769,4022,2826,1893,2037,2994,3456,946,1585,2490,3405,4532,2342,2639,1617
 "41001","Baker, OR",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",27735,31735,30732,31342,28898,40646,29134,36813,39452,43268,63139,54028,38890,38508,36951,43209,53929,46626,50700,46691,41728
 "41001","Baker, OR",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",12433,11019,10834,10766,11799,12353,13168,11580,10627,12624,12146,13130,10695,9967,10375,11218,11359,13021,12444,12351,12402
 "41001","Baker, OR",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",29711,32109,32049,46492,41391,39852,39966,37800,33652,34476,42095,39273,40138,36911,39366,42058,43420,43538,44224,44273,47844
 "41001","Baker, OR",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",27490,29408,29503,42569,37062,35849,35848,34993,30699,31488,(D),(D),37872,35362,38006,41039,42415,42241,42722,42792,46199
 "41001","Baker, OR",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",2142,2661,2485,3885,4527,4148,4289,2770,2962,2996,(D),(D),2237,1492,1284,913,893,1218,1446,1422,1592
 "41001","Baker, OR",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",5765,5868,6261,6242,6287,6626,7097,6972,6516,6489,6287,6020,5641,6157,7421,6978,6480,6513,6011,6350,6327
 "41001","Baker, OR",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",26106,25792,26684,28154,28853,26569,27344,27414,28159,28006,26982,26828,28606,29010,30285,30654,31602,34120,34758,34388,34363
 "41001","Baker, OR",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",13956,11576,11830,13842,16767,18830,19783,14555,12978,13212,13604,14202,10836,11199,11034,10173,11262,12292,11493,11324,11483
 "41001","Baker, OR",8,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",5412,5631,5545,6333,6506,7084,7917,8206,8391,9379,(D),11521,11558,12107,12128,9797,8450,6751,7484,7518,8352
 "41001","Baker, OR",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",83017,76894,74136,70580,77940,86753,87833,88530,106740,102143,115880,102756,92112,95027,93074,101869,94557,96180,102990,97982,101193
 "41001","Baker, OR",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",14156,12366,11418,10878,9556,11982,11417,9494,13385,11839,12256,(D),10954,14268,14554,11808,10875,10065,10134,8778,9697
 "41001","Baker, OR",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",68536,64251,62478,59472,68330,74588,76302,79077,93414,90300,103594,(D),81171,80628,78352,90395,84004,86668,93619,90141,92320
 "41001","Baker, OR",8,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",18649,24293,26554,45767,41672,40604,38420,41767,39545,42778,45662,45250,56193,55872,58216,62055,66589,66682,68702,70528,79344
 "41001","Baker, OR",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",10175,10438,10164,9983,10380,10604,10860,11428,10982,10960,10616,10663,10770,10974,11184,12906,13066,12548,12961,12644,13800
