GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",45749778,47224538,48571146,50513783,51369693,52899551,51469077,50575168,50004342,51332792,51279628,51583009,51910850,52293380,52819094,52902634,52691814,52553250,53411430,51516106,54606028
 "44000","Rhode Island",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",38233238,39638433,40821929,42549049,43357370,44867117,43492679,42738146,42612786,43905757,43844390,44289877,44799042,45305375,45880295,45945365,45490796,45407375,46277365,44513869,47574646
 "44000","Rhode Island",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",175490,178985,173184,151453,148445,163218,121288,135634,143968,137299,117283,106146,99951,98964,119810,123340,123546,119926,115361,116356,102092
 "44000","Rhode Island",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",47887,60140,58095,69350,52953,44753,46254,47654,45898,28153,18489,24364,20945,50868,72646,69650,70100,55406,50907,51403,64868
 "44000","Rhode Island",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",684264,569586,603158,636952,607510,679275,660448,731141,687504,763651,750184,749730,762432,740267,769003,797411,793621,809831,822202,863748,815335
 "44000","Rhode Island",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",2734628,2664460,2907444,2943460,2922364,2824482,2667050,2344528,2112612,2034630,1926107,1955966,1810173,1698083,1652323,1662617,1638070,1727065,1768246,1647041,1715415
 "44000","Rhode Island",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",4576099,4864797,4488411,5004873,4525827,5123098,4496401,4495759,3982800,4183382,4085522,4024304,4393104,4235487,4637455,4664180,4548882,4617545,4477149,4363595,4728957
 "44000","Rhode Island",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",2988400,3159835,2816375,3323816,3020871,3130673,2995673,3030951,2646515,2762025,2731452,2663313,2829233,2643476,2945725,3145021,2874728,2983703,3063058,2773013,3148456
 "44000","Rhode Island",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",1605670,1729534,1725450,1684363,1503361,2070972,1503454,1458987,1336256,1422855,1353502,1360991,1563331,1590087,1691351,1528398,1671773,1635719,1426789,1590748,1592559
 "44000","Rhode Island",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",2451566,2582804,2734817,2745327,2803465,2770099,2829749,2770689,2547749,2782970,2821191,2971503,3052570,3115185,3249216,3115148,3068218,3020813,2970590,2862087,3071636
 "44000","Rhode Island",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",2954282,3232844,3457584,3452633,3417862,3303958,3184691,3015616,2862177,2976018,2927344,2889982,2918957,2892995,2973497,2999061,3061068,3217520,3337134,3273908,3323004
 "44000","Rhode Island",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",766582,778668,823206,841588,875026,903333,851091,865193,828561,846747,866426,898355,861560,843950,839655,849540,870114,890764,898721,764667,773608
 "44000","Rhode Island",1,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",1194027,1391481,1505901,1782431,1809411,1865475,1679082,1862674,1860600,1938487,1984933,1795252,1792010,1832477,1851317,1853083,1525654,1542241,1613621,1613374,1802349
 "44000","Rhode Island",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",9454363,9453760,9503497,9909756,10831403,11172607,11534655,10626356,12159336,12114787,12232991,12550951,12421200,12771599,12297708,12321669,11983511,11301822,11837627,12083518,12357264
 "44000","Rhode Island",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",3544182,3514630,3372331,3529001,3656026,3942307,4164598,3058782,4645160,4042315,4017826,4522187,4211725,4733775,4709224,4913543,4777076,4479375,4947422,5049535,5117277
 "44000","Rhode Island",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",5885190,5914236,6108571,6356705,7158091,7203960,7337791,7562969,7551851,8070280,8211255,8028764,8212694,8022523,7564584,7372879,7172230,6792605,6831545,6974149,7183189
