GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",1020537759,1043566910,1050609448,1109477025,1141373737,1228547292,1286192710,1282088657,1277295392,1309962361,1353600364,1421180088,1484700136,1529617128,1605901672,1619954155,1659453293,1728304015,1779781391,1747562001,1815063574
 "48000","Texas",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",894779786,913624569,918073413,977095835,1006899923,1091753803,1145709805,1137592871,1128693554,1158726791,1204043660,1269653227,1333384106,1378086844,1452218561,1461550863,1498381671,1567840221,1619764432,1582568120,1649983985
 "48000","Texas",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",9673568,11645367,12684962,12534087,12546452,11556407,10056700,7644614,8391445,11826302,8571887,8137530,10448583,10802526,15203590,13311627,13608399,13384775,11839910,11522944,11580251
 "48000","Texas",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",107669201,119965397,101445202,98756457,99334940,113897162,126932643,123834838,145791690,121422551,128767473,159620748,175130508,198643148,230143920,218066148,216651262,224763020,268798238,264531909,206767338
 "48000","Texas",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",23949650,22592415,22515008,22906820,21889688,23683957,23577830,22922080,20606340,23368739,25490422,24732190,24456165,22865144,23024392,24391209,25562887,26422153,26581202,25103678,24747242
 "48000","Texas",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",65383870,63746651,63261112,58291341,59488354,62866153,67418264,67271904,61068622,58161621,58517964,63763073,65236199,67292791,68780346,69157507,68456817,67582070,68907594,66097121,65745686
 "48000","Texas",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",130275904,133702592,139472274,180917166,176481775,200158736,216854875,197663800,185771335,206540891,214847355,207319650,230117769,206708114,213089529,208101079,218502948,237164485,225683304,205113195,214678315
 "48000","Texas",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",41447896,44167406,45908761,56348421,62471962,75477075,79466387,86910046,76067646,83525233,94433919,96039930,100606365,101791641,95845531,95893648,100417461,109467971,107370004,100605440,108913646
 "48000","Texas",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",98497915,97026392,101594161,138774500,120854147,129027653,143475854,108983322,110730655,124599406,120563553,111279719,129702779,104109488,117364003,111930226,117832088,127378458,117724904,103395246,104145204
 "48000","Texas",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",69208855,68457107,70981550,78937805,84668997,89567996,96191923,100295240,90289342,98624029,105150042,115923706,119121600,123494975,127245897,124964819,122793688,127408513,127681357,129669618,135106703
 "48000","Texas",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",63253281,66127400,68146780,67699867,70807468,72832601,71399417,70499828,69670617,71487062,72219464,75470076,78557069,81708504,85849707,88059375,89481836,92927257,94433706,93063805,97324645
 "48000","Texas",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",42977288,36696880,37548265,40890280,42643544,45329087,45288468,47010629,43707478,46768828,47817583,50515425,47689865,49314718,50747248,50695841,53688520,55349625,55382416,49581534,52460013
 "48000","Texas",6,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",30233137,32448682,33596884,36494258,38293790,41123796,50005739,53002780,49159744,49815501,50383240,49598000,54265541,54461016,62153305,65166723,70623635,75968011,79124102,82256236,91477462
 "48000","Texas",6,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",141891268,145631637,146632006,149895507,162876598,177370437,174762676,169409125,175271818,181991165,191520439,199701155,205930593,218621547,222703078,232725126,238010302,250133081,258713969,276145488,294101058
 "48000","Texas",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",50783063,51863566,51714975,51950815,55486618,56017386,54571032,53320727,62604711,61732734,63160376,68054508,67974259,71550271,75216797,80380389,79944617,83435862,84989450,86229912,96416148
 "48000","Texas",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",90739524,93394378,94558130,97630135,107106938,121338478,120222759,116097169,112896593,120280865,128334491,131646647,137982026,147128067,147398820,152109265,158051143,166754815,173980803,190830152,198073756
 "48000","Texas",6,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",96606800,97419451,98378453,103172896,110387160,118362276,126161739,135930830,127996998,134975150,142822469,150981827,155543767,167009584,171706376,173087801,182790368,195949709,209669682,203226517,231883747
 "48000","Texas",6,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",65225703,66130709,65231863,66777988,69889210,74748613,77994501,85628630,80490273,84367498,88941247,94047898,96122217,100846037,104821305,106890755,110608613,118150337,128434410,123118915,138540895
 "48000","Texas",6,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",5476141,5935073,6402699,7111652,8429094,8940757,10326678,11040277,10610935,11519537,12388969,13990570,14552262,18729265,19161133,19577206,22723585,25791462,28069144,27512076,32512923
 "48000","Texas",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",25686436,25291085,26678971,29207876,32057265,34641530,37826922,39267412,36903633,39090704,41492745,42943360,44868996,47501970,47813481,46779896,49713944,52438807,53831512,53193991,61583617
 "48000","Texas",6,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",63963803,67639127,68914414,71321043,71056526,74340321,75056775,80309864,85772427,88582970,91080382,92629721,94573052,97352877,102855019,106826974,109046558,111730720,115596493,112815971,117550409
 "48000","Texas",6,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",7242663,7169049,7447209,7865967,7624484,7717658,7873643,8485099,9398662,9911398,10116227,10174162,10202795,10198952,10418252,11090960,11323976,11674209,12331180,11357272,11941706
 "48000","Texas",6,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",56769474,60450075,61465775,63471840,63428774,66601091,67166067,71809421,76369770,78674196,80965070,82455559,84372291,87165686,92466571,95750947,97737639,100066002,103251931,101510808,105652337
 "48000","Texas",6,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",37288101,38335295,39176405,39810001,39628599,42508339,42410281,41714869,40102975,41159159,42367846,43544804,44363812,48513397,51198942,51589450,51606275,51204057,52821228,40686093,49996534
 "48000","Texas",6,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",5299670,5823478,5994263,5816393,5739031,6026104,6103586,6179049,6630715,6567933,7043379,7263956,7792745,8427826,9035469,9839552,10647150,11082990,11532556,7344774,9739481
