GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "50000","Vermont",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",23752352,24570126,25464919,26855180,26995578,27128801,26886654,27758374,27221980,28403745,29013495,29241252,28681494,28912211,29119048,29408147,29490649,29602223,29940658,29064643,30546783
 "50000","Vermont",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",20056479,20781363,21535059,22797095,22893033,23003206,22807121,23602207,23143109,24346841,24819554,25148069,24534048,24852348,25050132,25351107,25411404,25530247,25856770,24943619,26521109
 "50000","Vermont",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",480605,419101,425322,473050,557892,493824,511570,526092,461949,511897,499229,449595,491414,600191,536999,570536,561838,533445,621333,516423,416245
 "50000","Vermont",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",215094,218821,268945,223519,235235,239145,214656,198243,256838,252883,223711,191740,186368,193234,216471,201447,216273,135452,117924,167157,167352
 "50000","Vermont",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",500349,529222,506198,577074,537170,536210,568401,582679,624789,720670,659284,718194,737000,675679,678655,589655,562454,586407,569684,581393,541684
 "50000","Vermont",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",1511040,1468605,1448830,1520484,1419571,1348943,1232686,1099801,1082815,1089008,1104636,1099830,1023155,953815,926122,934486,924879,894317,873160,813439,856916
 "50000","Vermont",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",2445122,2445914,2571651,2734166,2724895,3072431,2655286,3014946,2581765,3118925,3276855,3397571,2716006,2663105,2801472,2755246,2791650,2864110,2866301,2930031,3080327
 "50000","Vermont",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",1645131,1652501,1767907,1867203,1876566,2089895,1680550,2013326,1793041,2299716,2420391,2628573,1928174,1806765,1824401,1809112,1808819,1844387,1868856,1914076,2050236
 "50000","Vermont",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",821071,809719,801783,871937,845147,990191,1026608,1030037,801458,822253,859387,768998,787444,855646,974850,944503,980191,1016638,994982,1013539,1028868
 "50000","Vermont",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",1244348,1323264,1475259,1511287,1481883,1435046,1425093,1414318,1302188,1414961,1456288,1482135,1482708,1464793,1512415,1590024,1513547,1523983,1541018,1531231,1585433
 "50000","Vermont",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",1946964,2080227,2182611,2282608,2333482,2263402,2173237,2165878,2068906,2106181,2108574,2050410,2107509,2130077,2203508,2265734,2343884,2411465,2428310,2277047,2342710
 "50000","Vermont",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",516392,519268,528598,556489,573233,570654,563022,549804,517652,529258,538677,518942,493485,490947,463025,452789,475201,471728,476713,434211,437839
 "50000","Vermont",1,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",522236,579571,601137,693696,718693,694685,766020,918379,963652,978801,928299,862466,899564,865326,859744,883209,876803,899395,959770,956861,1050393
 "50000","Vermont",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",4073908,4278159,4419538,4692173,4742149,4655475,5000242,5073588,5321211,5530276,5678365,5797822,5640503,6002041,5772503,5800630,5599602,5354591,5424945,5473306,5741046
 "50000","Vermont",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",1141932,1235466,1278219,1310156,1422334,1387497,1411829,1278434,1446560,1324665,1350658,1422624,1283557,1650808,1477925,1524609,1485743,1492826,1557083,1510695,1609277
 "50000","Vermont",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",2930638,3040894,3139422,3382324,3314862,3263613,3588219,3800386,3883689,4205439,4327338,4375199,4357529,4344416,4291344,4271637,4109215,3853612,3856830,3954543,4122168
 "50000","Vermont",1,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",1758464,1809837,1878004,2097057,2099566,2126110,2168833,2350614,2303172,2381662,2557414,2672034,2761958,2785025,2874580,2941762,3072084,3209769,3345088,3354257,3867098
 "50000","Vermont",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",1298034,1350287,1391049,1564964,1555652,1603343,1601544,1696706,1659714,1700961,1777141,1793909,1825069,1799852,1900090,1949085,2024774,2121644,2184248,2214391,2548102
 "50000","Vermont",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",41139,41309,41723,40334,39956,22749,19274,90789,89553,104853,161602,218352,227449,255313,264066,266789,263967,267168,314668,317316,358091
 "50000","Vermont",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",421697,421033,447404,493021,504964,498940,546682,563388,554163,576041,618687,659772,709382,730064,711791,727232,782522,819401,848306,827256,964033
 "50000","Vermont",1,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",2740450,2891236,3021582,3148141,3208575,3296392,3342251,3573149,3635880,3600655,3642208,3704921,3751745,3751190,3871829,4057916,4081338,4169864,4190434,4004158,4109111
 "50000","Vermont",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",667158,672547,687404,735199,712852,715446,711912,755108,788045,770820,773055,762497,741716,733085,730034,834681,837855,837014,809736,688990,689227
 "50000","Vermont",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",2081901,2223405,2337139,2418111,2497733,2581879,2630535,2817973,2848461,2830156,2869328,2942424,3010320,3018638,3143459,3221642,3241971,3332533,3382574,3322990,3429196
 "50000","Vermont",1,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",1456836,1556130,1581364,1604464,1597164,1557279,1523230,1478836,1407635,1483822,1531927,1564071,1613009,1646346,1707784,1705208,1804879,1863307,1881869,1434216,1801711
 "50000","Vermont",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",272216,300400,316522,304498,279812,272526,272434,277595,281673,306470,311902,324297,319107,339200,305538,311533,314664,331982,322277,216211,291792
 "50000","Vermont",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2012 dollars",1184052,1255086,1263987,1299696,1317961,1285356,1251234,1201483,1126038,1177335,1220061,1239774,1293807,1307275,1401351,1392946,1488955,1530348,1557863,1215966,1507523
 "50000","Vermont",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2012 dollars",827332,845603,812961,803154,790005,767357,721930,680221,638221,628033,615457,638338,628000,634929,633722,627525,620733,649615,642137,570634,611621
 "50000","Vermont",1,CAGDP9,83,"...","Government and government enterprises ","Thousands of chained 2012 dollars",3712903,3800135,3942069,4060529,4107267,4130537,4083925,4158305,4081031,4056844,4193852,4093183,4146430,4061294,4070983,4060897,4082772,4076364,4089822,4119014,4040311
 "50000","Vermont",1,CAGDP9,87,"11, 21","Natural resources and mining ","Thousands of chained 2012 dollars",692951,623089,661510,689063,792045,729066,724837,724845,725221,766985,723109,641334,678769,797116,755666,773020,781040,661100,722326,684038,587187
 "50000","Vermont",1,CAGDP9,88,"42, 44-45","Trade ","Thousands of chained 2012 dollars",3192448,3405104,3653832,3791597,3816233,3699388,3597337,3579435,3371287,3521099,3564805,3532544,3590135,3594657,3715694,3855719,3855183,3932010,3966205,3808910,3928874
 "50000","Vermont",1,CAGDP9,89,"22, 48-49","Transportation and utilities ","Thousands of chained 2012 dollars",1008582,1040789,1026759,1125634,1101362,1097914,1124214,1126154,1139550,1251402,1196711,1237136,1230624,1165851,1141584,1042893,1039054,1059098,1047771,1015712,980233
 "50000","Vermont",1,CAGDP9,90,"31-33, 51","Manufacturing and information ","Thousands of chained 2012 dollars",2968161,3021919,3169470,3423447,3438985,3761824,3419820,3932704,3546263,4099209,4205805,4260037,3615085,3528213,3663203,3637532,3669227,3764318,3819495,3883508,4120270
 "50000","Vermont",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",4542142,4474482,4638979,4907251,4882828,5161303,4597776,4836699,4365964,4968635,5104670,5138736,4417925,4404340,4479423,4454206,4486108,4434069,4454484,4418065,4545439
 "50000","Vermont",1,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",15470478,16300506,16888979,17882644,18006453,17824173,18208400,18762299,18778088,19378117,19714859,20009333,20114766,20446297,20569653,20893507,20922681,21090450,21394675,20524556,21967170
 "50001","Addison, VT",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",1145450,1183894,1249175,1320820,1335768,1345808,1316784,1372369,1327083,1430440,1486341,1548252,1403576,1415741,1456866,1543097,1540553,1561420,1583523,1530991,1577229
 "50001","Addison, VT",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",1012657,1050590,1110393,1177971,1194259,1204269,1178499,1235646,1196176,1299317,1351990,1419315,1275562,1294136,1334694,1420728,1410819,1431508,1456727,1401793,1455679
 "50001","Addison, VT",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",105769,(D),92298,106076,(D),(D),120487,112763,84622,115099,118653,114469,120059,151228,140518,128628,121527,103652,138040,132890,95942
 "50001","Addison, VT",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",8748,8559,11165,10599,6212,4670,4402,4209,5664,6186,5922,5850,6236,8753,8936,7951,9159,7523,7452,9347,8614
 "50001","Addison, VT",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",14882,17129,17208,17739,18528,20859,(D),(D),24127,24331,(D),(D),24388,20916,(D),(D),(D),(D),(D),(D),(D)
 "50001","Addison, VT",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",74826,(D),84494,93325,85313,78697,76104,69428,76940,87266,74891,76749,58295,38499,41610,54000,67418,64067,64252,58707,54928
 "50001","Addison, VT",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",101038,110076,126197,143244,148386,177124,128492,171894,157374,201954,257970,320285,191820,173712,188108,199279,201746,218822,232409,267684,278980
 "50001","Addison, VT",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",48028,52850,65849,75629,82410,96178,64445,98176,91355,113405,(D),(D),110037,107649,120470,134170,130034,137283,151253,184866,194147
