GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "55000","Wisconsin",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",236088654,240543335,247766080,256167442,263698604,268246403,269933625,266626925,258761211,266830815,272813213,277107120,278014977,283981126,289076998,291920259,291922691,299062615,303669022,293104851,306467421
 "55000","Wisconsin",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",205178690,209160691,215748142,224240914,231758614,236272730,237720391,233932602,225711816,233682844,239951696,244109391,246362670,252414525,258319257,261151991,261383164,268511646,272978392,262875384,276320958
 "55000","Wisconsin",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",4498369,4584757,4706253,5071569,5254815,5457166,5384748,4612222,4383917,5073028,5302600,4938085,5245931,5967502,6594406,6511380,6347848,6511928,6556730,7006746,5701917
 "55000","Wisconsin",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",842758,876862,911531,965408,757968,805676,694434,601006,590508,665302,507673,491547,644000,1127512,1696594,782930,797216,1292494,889244,565430,590329
 "55000","Wisconsin",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",3892967,3933227,3937856,4203313,3922244,4134669,4222100,4750932,4252721,4752469,5072440,5175130,5215446,4955035,4866833,5156622,4979930,4622492,4432973,4306189,3953142
 "55000","Wisconsin",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",13697591,13179427,13310211,13467998,12751934,11684676,11323216,10707560,9618439,8904103,8622876,9001830,9332200,9435724,9810620,9999923,10288294,10569113,10629384,10366103,10576244
 "55000","Wisconsin",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",46382209,46537088,48186427,50519746,51638385,55199985,54913534,51131059,45501045,49795828,52274856,54123218,54834325,54853037,54495542,54019801,52858475,53926177,56157461,53025665,57945759
 "55000","Wisconsin",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",24422529,24197972,26282460,27539834,28994766,31092337,31062139,29561763,23616833,27646495,31182276,32553857,33549315,32177711,32050842,30994004,31775187,32552894,32947177,29874258,33696765
 "55000","Wisconsin",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",22321412,22770934,22086319,23174715,22639298,24082289,23802559,21436379,22026339,22202634,21094554,21569360,21284661,22677406,22446836,23017376,21100409,21392456,23227826,23168777,24273763
 "55000","Wisconsin",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",14032103,14469928,14765159,15705214,16349233,16555256,16702204,17211759,15309647,15972097,16088133,16523570,16999632,17352557,18009194,18162730,18483838,18973216,17909840,18525873,19389936
 "55000","Wisconsin",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",15912954,16703055,17351491,17128662,17048777,17034166,16242908,15890783,15270934,15179287,15347150,14907856,15581640,15775228,16390485,16978200,17390066,17886092,18117633,17647682,17718792
 "55000","Wisconsin",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",7715554,7664570,7917296,8222681,8442268,8603593,8190571,7742658,7359279,7819357,7910582,7816877,8010371,8210992,8219624,8164622,8471829,8508062,8513344,8131379,8296033
 "55000","Wisconsin",3,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",4855627,5426704,5547363,6457155,7021510,7296593,7857430,8376358,8360056,8685180,8953158,8783689,9516696,9931577,11052168,11688901,12097222,12853116,14013834,14421658,15502147
 "55000","Wisconsin",3,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",40639036,40864802,42262765,43847340,48572922,48156903,50576560,49074803,52598737,53287947,54661568,56280296,53793713,56450729,57512327,58040926,56376107,57133863,57321458,54772523,56633706
 "55000","Wisconsin",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",13942099,14021646,14539646,15826582,17934619,17880039,18820613,16471173,19044958,18619599,18765459,20168928,17851080,21289203,23026588,23847926,22311364,22851818,23466868,22147289,23557063
 "55000","Wisconsin",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",26707963,26854190,27733903,28002400,30600428,30235012,31710237,32592274,33585695,34668734,35891156,36111369,35951523,35104393,34387084,34078174,33970603,34178035,33727404,32512484,32942643
 "55000","Wisconsin",3,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",19151349,19914150,20815663,20886724,21392921,21973081,22441385,23456581,21940825,23290034,24123642,24739400,25459035,26568138,27555729,28771445,29697032,31608013,32540312,32066791,34809174
 "55000","Wisconsin",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",9193822,9677339,9809978,9998582,10221932,10524627,10919029,11798285,11087650,11442518,11450200,11801782,11745814,12117405,12758959,13067439,13468829,14300416,14990050,14900644,16213951
 "55000","Wisconsin",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",5719826,5977229,6621894,6076646,5847518,5968319,5595724,5532236,5402365,5863200,6303311,6607317,7157233,7764955,8185213,9179514,9242288,9937625,10146981,10306469,11036070
 "55000","Wisconsin",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",4346198,4392173,4607473,4911499,5360279,5513853,5930620,6127539,5458746,5987632,6370131,6330301,6557251,6694741,6631716,6584829,7023096,7420477,7457591,6980947,7660196
 "55000","Wisconsin",3,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",20490895,21461891,22460571,23687731,23920360,24620817,24617944,26060137,26763438,26450784,27005363,27226323,27617437,27372340,28032920,28721954,29288608,30092992,31007237,30056579,31089018
 "55000","Wisconsin",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",2422725,2409159,2526860,2704896,2573917,2643725,2707847,2887256,3114865,3216525,3260470,3230604,3202459,3143990,3102262,3217190,3109113,3194806,3305261,2925628,3055581
 "55000","Wisconsin",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",18082671,19050084,19931653,20985064,21334522,21964447,21901048,23164268,23645085,23235214,23745330,23995719,24415739,24230007,24937627,25509889,26195035,26914130,27717381,27167691,28069092
 "55000","Wisconsin",3,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",7563514,7724947,7938338,8121836,8257717,8404775,8121587,7946710,7602139,7785558,8122914,8155398,8266010,8615022,8576781,8513482,8666263,8962855,9466796,7523247,9376411
 "55000","Wisconsin",3,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",1649490,1722949,1783447,1815836,1926712,2054520,2008291,1996382,1910392,2002775,2114724,2106758,2148572,2217788,2008789,2020304,2095590,2302090,2368612,1624668,2017469
 "55000","Wisconsin",3,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2012 dollars",5931336,6017718,6170305,6322388,6341888,6354656,6115987,5951247,5692607,5783003,6008060,6048641,6117529,6396984,6563196,6489237,6568227,6665121,7098958,5885229,7341841
 "55000","Wisconsin",3,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2012 dollars",6908912,7134067,6888374,6988374,6978486,6883503,6666011,6443843,6125104,6036181,5957606,5946173,5864443,5914863,5926069,5894393,5976557,6162650,6201725,5861443,5982503
 "55000","Wisconsin",3,CAGDP9,83,"...","Government and government enterprises ","Thousands of chained 2012 dollars",31127159,31586935,32189727,31984563,31922827,31921943,32162882,32670484,33053896,33144649,32860965,32997728,31664782,31597316,30837020,30859814,30640149,30689030,30848919,30343443,30371517
 "55000","Wisconsin",3,CAGDP9,87,"11, 21","Natural resources and mining ","Thousands of chained 2012 dollars",5305931,5418060,5568431,5990855,6035223,6284716,6107206,5236707,4999028,5762294,5809834,5429632,5883524,7054811,8234524,7180766,7039199,7791166,7327589,7341349,6119647
 "55000","Wisconsin",3,CAGDP9,88,"42, 44-45","Trade ","Thousands of chained 2012 dollars",30044402,31290987,32253930,32912270,33446111,33629883,32953869,33083841,30581604,31150745,31434655,31431426,32580824,33127776,34399620,35138627,35869906,36854166,35967062,36149902,37089489
 "55000","Wisconsin",3,CAGDP9,89,"22, 48-49","Transportation and utilities ","Thousands of chained 2012 dollars",11542949,11535224,11787644,12359509,12282953,12662360,12358744,12474135,11578368,12554247,12979586,12992007,13225481,13156283,13074283,13306842,13443805,13129069,12948936,12438331,12255846
 "55000","Wisconsin",3,CAGDP9,90,"31-33, 51","Manufacturing and information ","Thousands of chained 2012 dollars",50830382,51642421,53388990,56728359,58471201,62267551,62613004,59471991,53883642,58492615,61235155,62906906,64346176,64769551,65462302,65554791,64728676,66478759,69762667,66865686,72857809
 "55000","Wisconsin",3,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",65117281,64963691,66966028,69913225,70462583,73267336,72459425,67244598,60198477,64445023,66709561,68554680,70050795,71289079,72304681,71282676,70329536,72260580,74274503,70805498,75025478
 "55000","Wisconsin",3,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",140152930,144356768,148947685,154496978,161466996,163198002,165426209,166734854,165479682,169225061,173237649,175554712,176310015,181124735,186014955,189859973,191032146,196229011,198700705,192047205,201288949
 "55001","Adams, WI",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",453937,525445,517069,488466,537023,566152,509682,501537,577016,557717,496408,528816,526168,496716,495896,517532,505863,514481,536208,537699,528843
 "55001","Adams, WI",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",362220,432393,421813,392879,440459,470105,413806,404255,478352,459132,398597,434223,435769,405607,405564,427554,418254,426968,449883,448917,440611
 "55001","Adams, WI",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",62817,112497,98861,53275,87480,115442,65539,(D),82833,(D),(D),(D),34308,3469,18017,24566,25199,37991,(D),32611,17865
 "55001","Adams, WI",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),0,0
 "55001","Adams, WI",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",12127,14161,11990,12958,11460,11860,11911,12952,12046,14003,15101,12396,13320,13934,12195,15807,14136,12936,13614,12971,10582
 "55001","Adams, WI",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",26878,26581,27550,31760,42387,32247,22381,14946,11618,9417,11518,14164,13369,12198,12301,13312,13737,12812,17628,15527,10298
 "55001","Adams, WI",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",38501,44227,46035,44218,42966,43952,41377,(D),86229,(D),(D),(D),34652,36942,31643,35815,30015,28798,59097,65672,66306
