GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",29130455,29777067,30673162,31695675,33483999,37813438,40632249,42868194,41546415,40056635,39767916,38855405,38849583,39559433,40418154,38188706,37521631,38080127,38446640,36268589,36400023
 "56000","Wyoming",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",24890341,25370161,26094936,27078212,28827654,33039442,35540316,37527583,36153883,34630004,34352900,33318744,33172732,33899045,34842412,32603785,31888142,32552084,33033888,30894234,31024734
 "56000","Wyoming",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",630815,512386,636293,576942,644380,677255,440539,544494,690258,705793,816526,561194,696270,799663,890957,950610,867677,953867,951417,946055,656010
 "56000","Wyoming",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",8638521,8949753,9169252,9698712,10614899,13177766,13661578,13881408,14788503,12800333,12229643,10195663,10249669,10538491,10619461,9473650,9006308,8659920,8735535,8147383,7043571
 "56000","Wyoming",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",590818,636935,629325,658347,633403,670956,711865,767209,763676,879083,917957,964522,957458,885356,900405,981287,942540,887150,877692,880507,821216
 "56000","Wyoming",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",1842314,1837234,1780072,1657099,1696942,1889695,2125241,2333170,2033450,2020252,1890919,2037078,2025788,2077562,1912598,1678990,1498269,1522563,1722555,1590332,1576898
 "56000","Wyoming",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",2468454,1812085,2069576,2251908,2212712,2559996,3670069,4544663,2276048,2271288,2218107,2512731,2035717,1879817,2580569,2130460,2468356,2762027,3225332,2661151,2770163
 "56000","Wyoming",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",283878,283405,285318,322981,334856,345808,388295,434376,377872,385376,429636,445196,419124,442815,459842,396373,443990,445448,481113,456004,468293
 "56000","Wyoming",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",2328303,1556786,1854381,1994254,1930436,2293930,3432623,4311579,1913849,1897188,1787627,2067535,1612642,1424548,2135828,1740438,2038601,2347598,2792898,2208538,2307418
 "56000","Wyoming",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",990940,1030245,1074527,1129893,1196597,1346669,1450829,1559738,1322868,1383268,1410339,1569177,1626114,1764429,1655939,1458038,1363842,1343339,1326591,1220637,1192050
 "56000","Wyoming",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",1594886,1723132,1760366,1682948,1822096,1949650,2066907,2148066,2057897,1921025,1968692,2015064,2017291,1985545,2036337,2014516,1971597,1977184,2031603,1962826,1937298
 "56000","Wyoming",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",1479861,1432102,1589953,1746594,1907214,2204481,2302674,2442942,2211298,2294035,2218934,2432031,2515966,2689093,2907052,2804932,2843551,3202988,3003344,2720459,2872890
 "56000","Wyoming",7,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",249911,290141,316859,355697,378996,417462,465852,517102,554004,572549,573242,560160,591886,575338,654141,672835,679025,718340,723912,686731,782527
 "56000","Wyoming",7,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",2959245,3207966,3188763,3430340,3780578,3806674,4155735,4244530,4356313,4583254,4800389,5076889,5056351,5263925,5223326,5025082,4737412,4818185,4670074,4471208,4675311
 "56000","Wyoming",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",761280,817542,720355,701257,756954,803050,839391,862908,934133,855710,911461,938258,849470,953846,898042,851432,835540,837480,834954,922614,1096757
 "56000","Wyoming",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",2192960,2385264,2468146,2734622,3030981,3007395,3324134,3389176,3430994,3727547,3889544,4138631,4206600,4309645,4326142,4175480,3900239,3980857,3831127,3524505,3534784
 "56000","Wyoming",7,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",1129786,1213186,1186054,1129278,1123474,1244623,1422857,1559199,1560050,1548388,1602404,1681678,1709697,1759307,1731639,1610484,1677779,1787766,1841156,1789938,2144897
 "56000","Wyoming",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",787688,861749,811745,791228,806839,873019,944626,1060417,987314,1002493,1027851,1075609,1063652,1128408,1095698,1027180,1066589,1144697,1220374,1167736,1273473
 "56000","Wyoming",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",84741,116988,122729,119199,119074,131480,117045,116001,105919,127394,126282,148448,159129,140068,143164,125461,123415,129990,128310,150474,250755
 "56000","Wyoming",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",249639,235519,251968,221140,200982,243177,362027,383811,466442,418595,448294,457622,486945,490395,492385,457135,486092,511464,492077,475264,631244
 "56000","Wyoming",7,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",1058718,1129740,1181852,1247615,1284420,1359108,1408288,1551392,1580760,1616131,1636622,1666648,1663052,1656880,1676980,1672684,1670216,1697470,1722269,1720830,1722935
 "56000","Wyoming",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",69306,80824,75938,83310,81273,86690,88276,91649,101717,106221,108541,105096,108094,103327,97475,99558,103798,103216,110153,102249,106783
 "56000","Wyoming",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",989502,1049993,1105926,1164666,1203112,1272428,1319935,1459392,1478992,1509932,1528126,1561552,1554924,1553653,1579944,1573430,1566425,1594442,1611835,1618996,1616174
 "56000","Wyoming",7,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",971184,1042162,1086302,1165814,1178704,1396144,1362251,1372384,1284835,1284378,1349943,1402037,1395715,1414823,1456165,1388415,1416099,1345052,1361729,1226408,1473230
 "56000","Wyoming",7,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",196182,168147,175172,176579,173184,187853,201403,208618,209728,228591,242147,261306,248124,272543,246936,238507,250578,257449,245365,207267,245085
 "56000","Wyoming",7,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2012 dollars",773145,873424,910518,989249,1005817,1209379,1161317,1164134,1075303,1055845,1107841,1140731,1147515,1142560,1208746,1149532,1165406,1088436,1116387,1019030,1228066
 "56000","Wyoming",7,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2012 dollars",600026,641340,595047,575578,587926,675975,718021,689772,642689,632399,628019,643871,611885,577007,562041,514083,507160,528123,532540,500292,510582
 "56000","Wyoming",7,CAGDP9,83,"...","Government and government enterprises ","Thousands of chained 2012 dollars",4256872,4415936,4583375,4631786,4677264,4787750,5105592,5353011,5401136,5423883,5412403,5536661,5674873,5663175,5595806,5550580,5576133,5496355,5405340,5315926,5322683
 "56000","Wyoming",7,CAGDP9,87,"11, 21","Natural resources and mining ","Thousands of chained 2012 dollars",9317915,9452744,9832145,10279936,11264861,13888492,14183740,14490211,15521899,13522026,13040044,10756857,10948610,11342065,11523332,10457663,9903377,9637083,9711315,9122957,7705235
 "56000","Wyoming",7,CAGDP9,88,"42, 44-45","Trade ","Thousands of chained 2012 dollars",2591593,2762132,2842407,2813892,3021161,3296213,3516718,3704791,3381076,3304193,3378932,3584241,3643513,3750683,3692554,3471864,3333730,3318004,3352831,3175841,3121752
 "56000","Wyoming",7,CAGDP9,89,"22, 48-49","Transportation and utilities ","Thousands of chained 2012 dollars",2076137,2085643,2225228,2405604,2526850,2849733,2989314,3184563,2959417,3168503,3138075,3396554,3473560,3573007,3804441,3783216,3784168,4091454,3880701,3595290,3692648
 "56000","Wyoming",7,CAGDP9,90,"31-33, 51","Manufacturing and information ","Thousands of chained 2012 dollars",2515181,2037444,2301237,2522642,2523866,2891375,3976538,4849858,2824523,2844338,2793938,3072891,2631727,2460468,3236717,2816190,3154813,3489971,3964921,3367348,3573668
 "56000","Wyoming",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",13631812,13026039,13565562,14020486,15008423,18146306,19648126,20852885,19919720,17876609,17206021,15306666,15023488,15322349,16052093,14231656,13830089,13954113,14849141,13506746,12350268
 "56000","Wyoming",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",11582006,12341708,12587001,13102692,13878786,15007035,16016724,16799909,16316756,16710034,17108006,18012078,18145835,18571821,18807308,18143610,17808367,18303970,18065564,17134513,18064560
 "56001","Albany, WY",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",1095012,1148660,1189663,1200756,1187941,1180276,1259332,1313637,1298411,1310280,1377541,1339735,1374776,1414117,1440375,1383901,1382067,1360266,1336607,1346223,1378870
 "56001","Albany, WY",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",668902,698650,706147,710961,720568,724268,783082,811978,789995,799574,868987,824989,842001,885313,916902,869893,865205,897331,885185,886059,922443
 "56001","Albany, WY",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",31843,8305,26016,24899,10846,14846,15850,10453,22437,9238,(D),(D),28239,38111,50581,14675,13049,8061,8584,7843,3551
 "56001","Albany, WY",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",1516,1972,4094,3765,2224,3717,3929,4484,5190,5264,6012,6349,6373,9565,9088,6710,8346,7153,7296,6068,6197
 "56001","Albany, WY",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",3104,2486,2305,1868,2601,2704,(D),(D),3741,8287,10351,9950,10056,9556,8227,10517,9199,(D),9470,11069,9469
 "56001","Albany, WY",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",68074,66844,58021,68280,67552,65651,77535,73688,71302,60245,(D),(D),60949,66437,67861,64627,75060,57461,53113,61511,60006
 "56001","Albany, WY",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",34603,30785,28172,26634,27935,30200,32258,35056,30831,28894,29412,29998,29399,29891,35989,35666,39159,39489,40448,41486,42346
 "56001","Albany, WY",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",29257,25781,23070,21354,22417,23633,26023,28135,26372,25315,26126,26488,26316,26584,32397,32319,35537,35702,36286,37388,37394
 "56001","Albany, WY",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",5281,4965,5112,5347,5584,6737,6305,7010,4461,3571,3287,3510,3075,3308,3569,3308,3574,3755,4164,4075,5051
 "56001","Albany, WY",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",26027,26477,25745,(D),(D),(D),(D),(D),16644,17909,16911,17012,19700,23130,26095,27725,29496,25953,25009,26229,27035
 "56001","Albany, WY",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",93927,97438,95766,87695,88023,89275,93740,99166,96112,95285,99629,100046,101589,102072,104994,108571,106122,101896,99276,91898,91417
 "56001","Albany, WY",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),23476,23076,19739,18982,19885,18453,21369,19083,19119,16872,18276,21932,13042,12363,12747
 "56001","Albany, WY",7,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",8334,(D),15093,(D),(D),(D),18212,19681,21208,20508,18952,14501,14696,14259,15550,17965,23506,(D),27907,34914,43173
 "56001","Albany, WY",7,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",167100,185211,193346,205487,223430,207979,230117,242368,228054,252204,280671,261052,268175,296219,301017,286290,263543,281610,268425,257845,264053
 "56001","Albany, WY",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",37418,39934,38900,39821,44454,46199,52500,50293,52079,51984,56225,56284,54608,63547,57681,56728,53035,54267,53838,55235,56963
